,民國110年02月,,,,,,,Feb-21,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
2905   三商,"190,506,128","9,289,426","4,390",20.51,20.3,20.8,21.45,2月25日,19.65,2月2日,1.02
2906   高林,"119,700,237","7,566,186","2,368",15.82,15.76,15.7,16.3,2月24日,15.5,2月26日,3.62
2908   特力,"58,340,531","2,274,503","1,042",25.65,25.7,25.55,26.5,2月25日,24.1,2月1日,0.45
2910   統領,"9,791,963","294,207",209,33.28,34.78,31.55,38.9,2月2日,31.15,2月26日,0.14
2911   麗嬰房,"26,018,460","4,017,133","3,128",6.48,6.51,6.66,6.8,2月25日,6.1,2月4日,2.18
2912   統一超,"5,500,871,489","20,601,396","18,517",267.01,267.15,262,273.5,2月1日,262,2月26日,1.98
2913   農林,"281,590,823","16,922,279","5,693",16.64,16.63,16.9,17,2月23日,16.1,2月1日,2.39
2915   潤泰全,"2,917,815,924","40,229,229","20,051",72.53,71.37,74.9,75.7,2月26日,68.1,2月1日,7.12
2929   淘帝-KY,"228,027,341","17,330,621","9,196",13.16,13.02,13.35,14.2,2月24日,12.05,2月1日,15.83
2936   客思達-KY,"7,898,531","396,318",295,19.93,19.73,20.05,20.85,2月24日,18.8,2月1日,0.52
2939   凱羿-KY,"34,762,040","1,231,315",833,28.23,28.31,32.75,33.4,2月24日,21.2,2月18日,2.7
4807   日成-KY,"4,464,270","180,333",260,24.76,24.68,25.75,26.9,2月26日,23.2,2月1日,0.47
5906   台南-KY,"8,773,405","184,344",199,47.59,47.83,47.75,48.9,2月2日,47,2月23日,0.61
5907   大洋-KY,"40,975,800","2,069,181","1,225",19.8,19.55,20.4,20.65,2月22日,18.55,2月5日,1.06
8429   金麗-KY,"30,697,786","3,616,430","2,905",8.49,8.45,8.6,8.83,2月25日,8.1,2月1日,1.95
8443   阿瘦,"5,913,142","542,010",959,10.91,10.92,11,11.2,2月26日,10.6,2月18日,0.81
8454   富邦媒,"3,595,874,487","3,970,313","6,548",905.69,876.23,967,"1,025.00",2月25日,775,2月1日,2.83
21 化學工業類,,,,,,,,,,,
Chemical,,,,,,,,,,,
1708   東?,"147,049,650","6,542,992","4,593",22.47,22.25,22.7,23.1,2月24日,21.5,2月1日,2.86
1709   和益,"102,055,670","7,055,443","2,996",14.46,14.38,14.55,14.8,2月24日,13.85,2月1日,1.48
1710   東聯,"1,295,169,183","64,600,650","24,147",20.05,19.45,21.15,21.2,2月26日,17.65,2月1日,7.29
1711   永光,"578,230,887","34,545,441","13,806",16.74,16.14,16.75,17.35,2月19日,15.1,2月1日,6.31
1712   興農,"165,487,128","7,878,889","4,371",21,20.97,21.4,21.45,2月23日,20.25,2月1日,1.87
1713   國化,"16,241,969","854,232",525,19.01,18.94,19.35,19.9,2月24日,18.5,2月3日,0.57
1714   和桐,"404,843,624","43,120,390","13,534",9.39,9.37,9.44,9.74,2月24日,8.96,2月1日,4.24
1717   長興,"1,688,552,560","48,235,784","22,162",35.01,34.62,36,36.5,2月26日,32.95,2月1日,3.89
1718   中纖,"1,726,317,603","183,634,975","50,670",9.4,9.14,9.71,10.15,2月23日,8.21,2月1日,11.33
1721   三晃,"41,920,310","3,980,181","2,383",10.53,10.54,10.55,10.8,2月25日,10.05,2月17日,2.11
1722   台肥,"1,860,950,602","35,471,915","15,927",52.46,52.33,53.4,54.2,2月23日,49.95,2月1日,3.62
1723   中碳,"573,875,065","5,545,688","4,837",103.48,103.5,103.5,106.5,2月19日,100.5,2月1日,2.34
1724   台硝,"10,277,956","824,930",828,12.46,12.48,12.7,12.75,2月26日,12.2,2月5日,0.65
1725   元禎,"9,550,197","608,664",455,15.69,15.56,15.95,16.6,2月23日,14.85,2月1日,0.33
1726   永記,"41,653,532","582,200",509,71.55,71.15,71.1,72.4,2月24日,70,2月4日,0.36
1727   中華化,"5,561,062","513,544",858,10.83,10.85,10.8,11,2月25日,10.6,2月1日,0.47
1730   花仙子,"80,503,910","1,150,295","1,221",69.99,69.86,70.3,71.8,2月17日,68,2月1日,1.82
1732   毛寶,"1,385,954,592","47,259,915","25,795",29.33,28.11,27.7,33.05,2月1日,25.75,2月22日,111.35
1735   日勝化,"1,629,215","97,806",75,16.66,16.65,16.6,16.95,2月22日,16.35,2月18日,0.1
1773   勝一,"423,431,853","4,012,434","3,276",105.53,104.69,108.5,109,2月26日,99.8,2月1日,2.23
1776   展宇,"4,199,085","259,139",202,16.2,16.25,16.35,16.75,2月26日,15.85,2月3日,0.37
3708   上緯投控,"3,217,676,323","21,809,677","17,225",147.53,146.81,149,157,2月23日,134.5,2月1日,23.32
