,民國110年02月,,,,,,,Feb-21,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
073405 可成元富07購09,"56,120","28,000",6,2,2.07,1.98,2.18,2月23日,1.98,2月26日,
073407 大立光元富07購03,"125,500","65,000",7,1.93,1.83,2.2,2.2,2月25日,1.22,2月2日,
073408 欣興元富0A購01,"5,613,830","1,744,000",91,3.22,3.15,3.66,4.16,2月24日,2.36,2月4日,
073409 欣興元富0A購02,"1,290,480","454,000",22,2.84,2.63,2.88,3.1,2月24日,2.08,2月3日,
073410 欣陸元富06購01,"1,501,050","2,129,000",50,0.71,0.59,0.73,0.8,2月24日,0.4,2月1日,
073411 申豐元富0A購01,"621,580","1,088,000",51,0.57,0.56,0.63,0.67,2月25日,0.46,2月17日,
073413 世紀鋼元富0A購01,"2,308,780","2,998,000",62,0.77,0.71,0.81,0.91,2月26日,0.54,2月1日,
073414 大立光國泰06購02,"917,130","1,408,000",49,0.65,0.61,0.61,0.92,2月25日,0.36,2月1日,
073417 彩晶富邦06購01,"27,300","21,000",1,1.3,1.3,1.3,1.3,2月1日,1.3,2月1日,
073418 新纖永豐04購01,"1,117,370","1,345,000",33,0.83,0.87,1.06,1.12,2月26日,0.62,2月1日,
073420 義隆永豐04購01,"766,660","654,000",35,1.17,1.18,1.55,1.71,2月24日,0.95,2月1日,
073421 可成永豐04購01,"959,220","1,043,000",39,0.92,0.91,0.81,0.95,2月24日,0.81,2月26日,
073422 國揚永豐04購01,"139,100","246,000",12,0.57,0.57,0.62,0.62,2月26日,0.5,2月22日,
073423 大立光永豐04購01,"1,984,980","2,011,000",72,0.99,0.82,1.11,1.19,2月23日,0.43,2月2日,
073424 晶技永豐04購01,"1,224,400","685,000",61,1.79,2.62,2.75,3.8,2月19日,1.51,2月2日,
073425 松翰永豐04購01,"2,609,140","1,399,000",120,1.87,1.41,1.71,2.6,2月22日,0.62,2月3日,
073426 惠特永豐04購01,"367,370","555,000",21,0.66,0.66,0.66,0.71,2月22日,0.62,2月19日,
073428 台橡群益04購01,"1,975,680","1,181,000",95,1.67,1.48,2.07,2.12,2月26日,0.55,2月3日,
073430 華新科群益04購01,"117,000","20,000",1,5.85,5.85,5.85,5.85,2月17日,5.85,2月17日,
073431 新光金群益04購01,"214,570","492,000",7,0.44,0.4,0.44,0.44,2月25日,0.38,2月5日,
073432 大立光群益05購01,"1,180,600","801,000",18,1.47,1.3,1.15,1.8,2月23日,0.72,2月4日,
073433 晶技群益04購02,"2,971,340","1,576,000",113,1.89,2.45,2.44,4,2月19日,0.94,2月1日,
073434 泰鼎群益04購01,"9,150","25,000",3,0.37,0.36,0.37,0.37,2月22日,0.35,2月1日,
073436 新日興麥證04購01,"261,000","1,800,000",4,0.14,0.15,0.14,0.15,2月22日,0.14,2月23日,
073437 臺股指麥證05購01,"1,298,400","205,000",108,6.33,6.6,6.35,8,2月22日,4.5,2月1日,
073440 敬鵬凱基04購01,"885,550","609,000",42,1.45,1.42,1.32,1.69,2月22日,1.27,2月18日,
073441 瑞昱凱基04購03,"2,824,530","1,094,000",126,2.58,2.56,1.93,3.61,2月17日,1.84,2月1日,
073442 群光凱基04購01,"1,492,610","1,980,000",46,0.75,0.78,1.05,1.05,2月26日,0.63,2月5日,
073443 南亞科凱基05購01,"1,020,190","233,000",27,4.38,5.42,6.15,6.65,2月23日,3.37,2月1日,
073444 友達凱基04購02,"544,570","142,000",9,3.84,4.23,6.6,6.6,2月25日,2.55,2月1日,
073445 聯發科凱基05購01,"602,650","145,000",14,4.16,4.56,5.3,5.3,2月24日,3.43,2月1日,
073446 可成凱基05購01,"382,540","590,000",26,0.65,0.68,0.57,0.87,2月1日,0.56,2月5日,
073447 智易凱基05購01,"1,808,250","1,507,000",58,1.2,1.19,1.11,1.24,2月18日,1.06,2月1日,
073448 日月光凱基04購03,"155,250","18,000",2,8.62,8.62,8.7,8.7,2月3日,8.55,2月2日,
073449 康控凱基05購01,"90,480","161,000",14,0.56,0.52,0.62,0.65,2月19日,0.43,2月17日,
073450 臻鼎凱基04購01,"53,150","245,000",8,0.22,0.22,0.23,0.25,2月19日,0.19,2月3日,
073451 嘉聯益凱基04購01,"224,510","118,000",12,1.9,1.96,2.27,2.29,2月22日,1.66,2月5日,
073452 盛群凱基04購01,"4,511,330","2,706,000",105,1.67,1.87,2.85,2.85,2月24日,1,2月1日,
073453 聯茂凱基05購01,"483,890","400,000",31,1.21,1.13,1.23,1.3,2月24日,0.87,2月5日,
073454 志超凱基04購01,"2,648,500","1,988,000",101,1.33,1.31,1.48,1.58,2月23日,1.08,2月1日,
073455 宏全凱基04購01,"453,620","474,000",23,0.96,0.85,0.97,1.04,2月22日,0.61,2月1日,
073460 元金2X元大05購02,"225,710","1,598,000",4,0.14,0.14,0.14,0.17,2月5日,0.1,2月19日,
073461 遠東新元大04購01,"290,050","340,000",15,0.85,0.87,1.06,1.12,2月26日,0.71,2月1日,
073462 力山元大04購02,"1,874,230","2,923,000",56,0.64,0.56,0.45,0.8,2月19日,0.45,2月26日,
073463 喬山元大04購01,"866,820","674,000",34,1.29,1.36,1.34,1.54,2月23日,1.18,2月2日,
073464 台橡元大04購02,"344,530","344,000",11,1,1.16,1.99,1.99,2月18日,0.77,2月1日,
073466 智邦元大05購01,"608,300","302,000",19,2.01,1.94,1.62,2.5,2月2日,1.6,2月17日,
073467 南亞科元大04購03,"444,210","84,000",14,5.29,5.33,7.1,7.1,2月24日,3.29,2月1日,
073468 可成元大04購06,"348,180","973,000",29,0.36,0.41,0.27,0.57,2月1日,0.27,2月26日,
073470 強茂元大04購03,"1,849,950","707,000",14,2.62,2.62,3.26,3.26,2月22日,2.23,2月5日,
073473 新興元大04購01,"658,100","486,000",35,1.35,1.49,1.73,1.98,2月19日,1.12,2月17日,
073474 大立光元大04購08,"1,416,570","2,097,000",87,0.68,0.69,0.71,1.04,2月23日,0.4,2月1日,
073475 大立光元大07購01,"4,440,980","3,203,000",51,1.39,1.29,1.11,1.68,2月23日,0.87,2月17日,
073476 奇鋐元大05購01,"16,200","43,000",11,0.38,0.38,0.34,0.42,2月2日,0.34,2月26日,
073477 玉晶光元大07購01,"178,650","338,000",7,0.53,0.5,0.56,0.56,2月22日,0.42,2月17日,
073479 祥碩元大04購05,"1,265,340","1,651,000",62,0.77,1.22,0.76,2.03,2月3日,0.67,2月23日,
073480 祥碩元大04購06,"1,121,800","995,000",38,1.13,1.12,0.58,1.94,2月2日,0.48,2月23日,
073481 松翰元大04購04,"1,137,080","869,000",82,1.31,1.18,1.31,2.23,2月22日,0.38,2月1日,
073482 寶成元大04購01,"1,545,930","1,630,000",57,0.95,0.94,1.05,1.13,2月24日,0.83,2月19日,
073487 華城統一06購01,"111,120","208,000",8,0.53,0.54,0.52,0.6,2月22日,0.46,2月1日,
073488 華城統一07購01,"69,800","190,000",3,0.37,0.35,0.37,0.37,2月23日,0.34,2月1日,
073489 和大統一06購01,"54,000","20,000",2,2.7,2.7,2.83,2.83,2月5日,2.57,2月4日,
073490 東鋼統一06購01,"3,628,710","2,788,000",63,1.3,1.34,1.62,1.68,2月24日,1.01,2月1日,
073492 國巨統一06購01,"109,100","35,000",5,3.12,3.13,3.27,3.49,2月17日,2.75,2月1日,
073493 燿華統一06購01,"1,136,970","1,591,000",30,0.71,0.69,0.75,0.78,2月18日,0.64,2月4日,
073495 美律統一05購02,"6,580","17,000",7,0.39,0.38,0.38,0.4,2月1日,0.37,2月1日,
073496 宏達電統一06購01,"1,356,680","1,764,000",43,0.77,0.76,0.74,0.84,2月22日,0.72,2月19日,
073497 萬海統一06購02,"550,000","149,000",45,3.69,3.75,3.9,4.26,2月23日,3.13,2月2日,
073498 大立光統一05購04,"6,060","6,000",2,1.01,0.79,1.12,1.12,2月23日,0.46,2月1日,
073499 大立光統一06購01,"375,930","306,000",21,1.23,1.09,1.17,1.43,2月23日,0.76,2月5日,
073500 大立光統一06購02,"1,043,740","806,000",31,1.29,1.27,1.4,1.64,2月23日,0.95,2月5日,
073502 大立光統一07購01,"4,302,010","10,657,000",243,0.4,0.44,0.44,0.61,2月24日,0.29,2月1日,
073503 奇鋐統一05購01,"1,412,850","3,883,000",15,0.36,0.36,0.32,0.4,2月19日,0.32,2月26日,
073504 GIS統一04購01,"21,890","199,000",1,0.11,0.11,0.11,0.11,2月19日,0.11,2月19日,
073505 瑞昱元富0A購01,"4,801,740","1,183,000",154,4.06,4.02,3.37,4.93,2月17日,3.29,2月1日,
073506 大立光元富04購03,"544,470","420,000",56,1.3,1.36,1.49,2.28,2月22日,0.81,2月1日,
073507 聯陽元富0A購01,"2,501,330","1,505,000",213,1.66,1.59,2.04,2.42,2月22日,0.99,2月1日,
073508 松翰元富0A購01,"4,463,800","2,923,000",268,1.53,1.38,1.64,2.06,2月22日,0.84,2月1日,
073509 聯成國票05購01,"18,300","10,000",3,1.83,1.76,1.77,1.98,2月23日,1.53,2月19日,
073510 中纖國票05購01,"1,015,450","942,000",28,1.08,1.04,1.09,1.21,2月23日,0.88,2月18日,
073511 華通國票05購02,"640,370","890,000",44,0.72,0.67,0.63,0.77,2月22日,0.57,2月4日,
073512 鴻海國票05購02,"6,000","1,000",1,6,6,6,6,2月26日,6,2月26日,
073514 美律國票05購01,"62,350","400,000",16,0.16,0.16,0.15,0.2,2月2日,0.15,2月25日,
073515 瑞軒國票05購01,"300,200","456,000",4,0.66,0.66,0.65,0.67,2月4日,0.65,2月18日,
073516 台郡國票05購01,"2,371,200","5,824,000",154,0.41,0.4,0.39,0.62,2月19日,0.28,2月1日,
073517 惠特國票05購01,"726,740","1,021,000",38,0.71,0.68,0.76,0.79,2月26日,0.58,2月1日,
073518 智邦兆豐05購01,"762,480","596,000",9,1.28,1.35,1.25,1.65,2月3日,1.12,2月17日,
073519 南亞科兆豐04購01,"304,560","115,000",17,2.65,3.97,4.7,4.78,2月23日,2.07,2月1日,
073520 新光金兆豐04購01,"493,550","1,518,000",79,0.33,0.32,0.3,0.36,2月25日,0.29,2月26日,
073521 泰鼎兆豐04購01,"136,480","311,000",21,0.44,0.43,0.4,0.51,2月18日,0.38,2月4日,
073525 聯發科國泰08購02,"168,100","38,000",11,4.42,4.55,4.82,4.82,2月17日,3.99,2月2日,
073526 智易國泰06購01,"1,969,440","2,096,000",45,0.94,0.94,0.85,1,2月17日,0.84,2月26日,
073531 華新永豐04購01,"944,820","1,433,000",33,0.66,0.59,0.61,0.75,2月23日,0.42,2月5日,
073532 川湖永豐04購01,"368,460","396,000",19,0.93,1.01,0.91,1.26,2月17日,0.83,2月3日,
073533 台橡永豐04購01,"3,339,040","2,989,000",76,1.12,1,1.46,1.53,2月26日,0.45,2月2日,
073537 佳世達永豐04購01,"1,211,830","338,000",12,3.59,3.63,4.08,4.08,2月26日,3.23,2月2日,
073540 群創永豐04購01,"37,500","6,000",1,6.25,6.25,6.25,6.25,2月23日,6.25,2月23日,
073541 健策永豐04購02,"844,510","1,166,000",25,0.72,0.62,0.56,0.87,2月22日,0.4,2月3日,
073542 彩晶永豐04購01,"328,580","98,000",17,3.35,3.49,3.54,4.15,2月25日,2.85,2月1日,
073543 啟碁永豐04購01,"587,250","859,000",26,0.68,0.68,0.62,0.75,2月19日,0.59,2月5日,
073545 T50反1群益04購03,120,"3,000",1,0.04,0.04,0.04,0.04,2月23日,0.04,2月23日,
073547 聯電群益04購11,"237,330","61,000",10,3.89,3.7,4.4,4.69,2月18日,2.98,2月1日,
073550 精元群益04購01,"44,650","78,000",18,0.57,0.58,0.59,0.6,2月1日,0.55,2月18日,
073551 聯發科群益04購04,"86,250","10,000",2,8.62,8.65,8.65,8.65,2月26日,8.6,2月26日,
073552 全新群益04購02,"60,600","20,000",2,3.03,3.03,3.07,3.07,2月22日,2.99,2月18日,
073553 欣興群益04購01,"2,964,490","1,567,000",51,1.89,1.54,1.58,2.16,2月24日,0.95,2月5日,
073554 日月光群益04購03,"7,169,600","793,000",70,9.04,12.5,10.5,18.8,2月18日,5.2,2月1日,
073555 松翰群益04購02,"271,670","1,270,000",16,0.21,0.21,0.56,0.56,2月26日,0.09,2月1日,
073557 滬深2X元大07購01,"817,830","411,000",5,1.99,2.66,1.92,3.22,2月22日,1.92,2月26日,
073558 SP黃豆元大07購01,"191,290","87,000",11,2.2,2.19,2.18,2.45,2月25日,2.05,2月19日,
073559 聚陽元大04購01,"57,000","30,000",3,1.9,1.98,2.2,2.2,2月23日,1.74,2月18日,
073561 聯電元大07購01,"13,170","3,000",1,4.39,4.39,4.39,4.39,2月3日,4.39,2月3日,
073562 台積電元大04購11,"2,326,760","444,000",81,5.24,5.73,4.09,7.9,2月17日,3.61,2月1日,
073563 台積電元大04購12,"13,921,520","1,944,000",165,7.16,7.89,4.8,11,2月17日,4.8,2月26日,
073564 台積電元大07購01,"10,228,720","1,978,000",259,5.17,5.18,4.19,6.2,2月17日,3.75,2月1日,
073565 友達元大04購03,"2,347,790","610,000",50,3.85,4.32,6.5,6.5,2月25日,2.69,2月1日,
073566 友達元大05購01,"267,200","76,000",8,3.52,3.59,4.83,4.83,2月26日,3.19,2月2日,
073567 聯發科元大04購05,"317,720","78,000",15,4.07,4.01,4.24,4.24,2月5日,3.48,2月1日,
073568 聯發科元大04購06,"57,550","10,000",5,5.76,5.88,6.25,6.25,2月17日,5.65,2月3日,
073569 聯發科元大07購01,"292,910","109,000",8,2.69,2.65,2.57,2.89,2月18日,2.3,2月1日,
073570 可成元大04購08,"20,800","46,000",4,0.45,0.48,0.43,0.6,2月3日,0.42,2月22日,
073572 大立光元大04購09,"819,910","1,042,000",37,0.79,0.88,1.47,1.47,2月22日,0.57,2月1日,
073573 大立光元大04購10,"106,200","120,000",2,0.88,0.88,0.92,0.92,2月19日,0.85,2月18日,
073574 大立光元大07購02,"192,500","246,000",15,0.78,0.78,0.85,1.08,2月19日,0.56,2月2日,
073575 奇鋐元大04購02,"94,220","196,000",6,0.48,0.49,0.45,0.52,2月3日,0.45,2月4日,
073576 玉晶光元大05購04,"1,900","10,000",1,0.19,0.19,0.19,0.19,2月4日,0.19,2月4日,
073577 祥碩元大04購08,"3,078,310","2,155,000",50,1.43,2.44,1.4,3.87,2月2日,1.2,2月23日,
073580 聯電康和04購02,"32,186,350","3,342,000",562,9.63,9.17,8.45,12.8,2月18日,5.7,2月1日,
073581 T50反1凱基06購03,"4,500","90,000",1,0.05,0.05,0.05,0.05,2月1日,0.05,2月1日,
073582 台橡凱基05購01,"1,237,330","651,000",42,1.9,1.69,2.41,2.41,2月26日,0.73,2月1日,
073583 聯電凱基05購02,"1,977,880","649,000",80,3.05,3.28,3.4,4.1,2月18日,2.35,2月1日,
073585 精英凱基04購02,"443,580","102,000",12,4.35,4.32,4.2,4.68,2月4日,3.95,2月1日,
073586 精英凱基05購01,"3,534,310","1,071,000",103,3.3,3.09,4.15,4.24,2月24日,2.12,2月1日,
073587 旺宏凱基04購05,"17,440","5,000",2,3.49,3.49,3.48,3.5,2月18日,3.48,2月19日,
073588 聯發科凱基06購03,"80,310","34,000",4,2.36,2.2,2,2.41,2月18日,2,2月25日,
073589 奇力新凱基05購01,"644,440","826,000",17,0.78,0.78,0.87,0.87,2月26日,0.68,2月17日,
073590 義隆凱基05購01,"843,220","743,000",80,1.13,1.12,1.11,2.05,2月24日,0.83,2月1日,
073591 華新科凱基04購02,"1,444,480","236,000",57,6.12,6.02,8.25,8.35,2月22日,4.23,2月2日,
073592 聯陽凱基04購02,"1,645,650","1,123,000",79,1.47,1.52,2.22,2.45,2月23日,0.83,2月5日,
073594 玉晶光凱基05購03,"74,030","508,000",22,0.15,0.2,0.2,0.33,2月3日,0.11,2月17日,
073595 祥碩凱基04購04,"1,169,700","952,000",64,1.23,0.95,0.48,1.9,2月2日,0.44,2月23日,
073596 同欣電凱基04購01,"3,084,490","1,904,000",168,1.62,1.51,1.3,2.05,2月22日,1.08,2月5日,
073598 復盛凱基04購01,"1,023,250","969,000",52,1.06,1.27,1.63,1.63,2月26日,0.75,2月1日,
073600 台積電兆豐05購02,"237,900","46,000",6,5.17,5.28,4.46,5.65,2月2日,4.46,2月26日,
073604 聯陽兆豐04購01,"1,198,540","1,287,000",75,0.93,0.9,1.58,1.75,2月23日,0.52,2月1日,
073605 奇鋐兆豐04購02,"2,590","7,000",7,0.37,0.37,0.37,0.37,2月1日,0.37,2月1日,
073607 樺漢兆豐04購02,"367,980","448,000",17,0.82,0.8,0.77,0.86,2月24日,0.74,2月17日,
073609 大立光國票05購02,"185,370","262,000",7,0.71,0.63,0.88,0.89,2月22日,0.42,2月17日,
073610 嘉晶國票05購01,"295,940","321,000",21,0.92,0.81,0.71,1.03,2月22日,0.67,2月4日,
073611 欣興國票05購01,"527,860","523,000",31,1.01,1.04,1.16,1.48,2月24日,0.63,2月4日,
073612 材料國票05購01,"74,900","360,000",10,0.21,0.21,0.2,0.24,2月24日,0.18,2月5日,
073614 南亞科統一05購04,"22,800","10,000",1,2.28,2.28,2.28,2.28,2月3日,2.28,2月3日,
073615 國泰金統一04購01,"2,523,040","1,180,000",88,2.14,2.14,2.34,2.49,2月25日,1.86,2月3日,
073616 元大金統一04購01,"1,051,530","369,000",42,2.85,2.86,2.69,3.2,2月25日,2.32,2月1日,
073617 奇鋐統一05購02,"64,630","166,000",4,0.39,0.38,0.4,0.4,2月19日,0.35,2月5日,
073619 欣陸統一06購02,"2,300","20,000",2,0.12,0.12,0.13,0.13,2月25日,0.1,2月22日,
073623 友訊元富0A購01,"276,000","122,000",9,2.26,2.23,2.29,2.29,2月25日,2.06,2月2日,
073624 南亞科元富04購01,"747,120","218,000",19,3.43,3.62,3.84,3.84,2月2日,2.73,2月1日,
073626 南帝國泰06購01,"11,461,800","8,402,000",236,1.36,1.32,1.54,1.75,2月25日,0.83,2月26日,
073627 奇鋐富邦06購01,"22,970","69,000",2,0.33,0.34,0.34,0.34,2月17日,0.33,2月1日,
073628 世紀鋼富邦06購01,"1,500","15,000",2,0.1,0.1,0.1,0.1,2月22日,0.1,2月22日,
073629 聯電永豐04購01,"3,372,230","639,000",94,5.28,5.77,5.6,8.15,2月18日,3.85,2月1日,
073631 聯電永豐04購03,"73,470","15,000",12,4.9,4.83,4.75,5.1,2月3日,4.45,2月4日,
073632 瑞昱永豐04購01,"3,217,750","1,935,000",125,1.66,1.65,1.17,2.37,2月17日,1.17,2月24日,
073633 奇鋐永豐04購01,"162,990","274,000",22,0.59,0.6,0.58,0.63,2月23日,0.57,2月18日,
073634 健鼎永豐04購01,"1,439,880","1,615,000",51,0.89,0.94,1.03,1.14,2月26日,0.81,2月3日,
073635 景碩永豐04購01,"726,210","458,000",64,1.59,2.5,3.36,3.36,2月23日,1.4,2月3日,
073636 材料永豐04購02,"3,500","50,000",1,0.07,0.07,0.07,0.07,2月18日,0.07,2月18日,
073637 松翰永豐04購02,"1,128,650","1,710,000",98,0.66,0.52,0.69,1.05,2月22日,0.16,2月1日,
073638 同欣電永豐04購01,"2,252,060","2,369,000",114,0.95,0.83,0.62,1.14,2月22日,0.57,2月5日,
073640 志超永豐04購01,"1,400,450","1,386,000",50,1.01,0.95,1.09,1.16,2月23日,0.81,2月5日,
073641 T50反1第一04購01,"15,170","877,000",18,0.02,0.03,0.01,0.04,2月5日,0.01,2月26日,
073643 玉晶光第一04購01,"1,880","16,000",3,0.12,0.12,0.11,0.13,2月2日,0.11,2月5日,
073645 大立光中信06購02,"213,960","364,000",3,0.59,0.59,0.63,0.63,2月18日,0.55,2月18日,
073648 大亞永豐04購02,"99,840","398,000",13,0.25,0.27,0.3,0.33,2月24日,0.21,2月1日,
073649 寶齡永豐04購01,"3,900","10,000",1,0.39,0.39,0.39,0.39,2月22日,0.39,2月22日,
073650 玉晶光永豐04購03,"159,490","526,000",44,0.3,0.28,0.22,0.45,2月3日,0.2,2月17日,
073654 精元兆豐04購01,"109,030","254,000",22,0.43,0.41,0.39,0.47,2月23日,0.39,2月24日,
073656 大立光兆豐04購07,"3,283,760","2,910,000",103,1.13,1.08,1.08,1.54,2月23日,0.62,2月1日,
073657 新日興兆豐05購01,"878,180","2,541,000",68,0.35,0.34,0.32,0.39,2月22日,0.3,2月4日,
073658 玉晶光兆豐05購02,"6,500","50,000",1,0.13,0.13,0.13,0.13,2月1日,0.13,2月1日,
073660 大亞群益04購02,"25,980","46,000",6,0.56,0.56,0.5,0.63,2月22日,0.5,2月26日,
073661 台積電群益04購06,"10,183,700","4,401,000",397,2.31,2.23,1.24,3.6,2月18日,1.16,2月26日,
073662 友達群益04購03,"340,570","80,000",9,4.26,4.42,5.25,5.25,2月22日,3.36,2月1日,
073663 可成群益04購06,"337,120","222,000",11,1.52,1.54,1.4,1.64,2月24日,1.4,2月26日,
073665 群創群益04購03,"46,150","7,000",3,6.59,6.68,7.25,7.25,2月25日,6.1,2月24日,
073667 聯電麥證04購02,"149,850","20,000",6,7.49,8.1,8.15,9.85,2月18日,6,2月1日,
073668 台積電麥證04購01,"212,780","42,000",9,5.07,5.45,5.8,6.5,2月17日,4.04,2月1日,
073669 大立光麥證04購02,"76,560","78,000",18,0.98,0.85,1.39,1.39,2月22日,0.49,2月1日,
073670 大亞凱基05購01,"23,560","67,000",14,0.35,0.35,0.32,0.38,2月24日,0.32,2月26日,
073671 大亞凱基05購02,"78,030","144,000",18,0.54,0.53,0.54,0.57,2月24日,0.51,2月25日,
073673 大成鋼凱基04購01,"2,464,340","1,789,000",99,1.38,1.17,2.08,2.26,2月26日,0.5,2月4日,
073676 台積電凱基04購12,"1,196,650","156,000",24,7.67,8.04,6.6,9.65,2月17日,6.6,2月25日,
073677 金像電凱基04購02,"1,130,580","728,000",34,1.55,1.54,1.37,1.64,2月25日,1.36,2月26日,
073678 聯發科凱基04購07,"30,744,330","18,525,000",587,1.66,1.55,0.96,2.21,2月17日,0.96,2月26日,
073679 奇鋐凱基05購01,"157,180","274,000",9,0.57,0.55,0.5,0.59,2月19日,0.5,2月24日,
073680 健策凱基04購01,"3,163,080","4,261,000",72,0.74,0.62,0.58,0.98,2月19日,0.38,2月2日,
073682 致伸凱基04購01,"435,030","153,000",16,2.84,2.91,3.22,3.23,2月3日,2.54,2月1日,
073683 晶碩凱基04購01,"512,950","333,000",28,1.54,1.5,1.37,1.87,2月18日,1.1,2月2日,
073684 南電凱基04購03,"108,200","23,000",2,4.7,5.94,7.6,7.6,2月24日,4.27,2月1日,
073686 T50反1元大04購05,"22,500","500,000",6,0.04,0.04,0.04,0.05,2月1日,0.04,2月2日,
073687 T50反1元大04購06,"21,500","490,000",8,0.04,0.04,0.02,0.05,2月1日,0.02,2月26日,
073688 大亞元大04購03,"584,430","1,417,000",13,0.41,0.39,0.42,0.44,2月25日,0.33,2月5日,
073690 寶齡元大04購02,"22,330","213,000",8,0.1,0.1,0.1,0.12,2月23日,0.06,2月18日,
073692 台積電元大05購04,"11,999,380","2,368,000",317,5.07,5.26,3.5,6.95,2月17日,3.45,2月1日,
073693 台積電元大05購05,"2,471,750","336,000",29,7.36,7.54,7.4,8.8,2月17日,5.2,2月1日,
073694 友達元大04購04,"197,560","46,000",18,4.29,4.28,5.15,5.15,2月25日,3.4,2月3日,
073695 聯發科元大04購07,"104,350","28,000",9,3.73,3.56,3.44,3.77,2月18日,3.44,2月22日,
073696 聯發科元大04購08,"1,947,490","713,000",35,2.73,2.85,2.14,3.46,2月17日,2.14,2月26日,
073697 聯發科元大05購01,"1,301,340","553,000",71,2.35,2.59,2.09,3,2月18日,2,2月1日,
073698 大立光元大04購11,"96,610","105,000",5,0.92,1.18,1.71,1.71,2月19日,0.9,2月5日,
073699 大立光元大04購12,"514,260","656,000",13,0.78,1.04,1.67,1.67,2月22日,0.73,2月1日,
073700 大立光元大05購05,"1,472,130","1,312,000",32,1.12,1.41,2,2,2月24日,1,2月1日,
073701 聯陽元大04購01,"385,040","453,000",8,0.85,0.96,1.06,1.34,2月23日,0.5,2月17日,
073702 欣興元大04購01,"80,930","65,000",11,1.25,1.25,1.26,1.32,2月23日,1.16,2月22日,
073703 欣興元大04購02,"273,960","240,000",19,1.14,1.29,1.41,1.85,2月24日,0.79,2月4日,
073704 欣興元大05購01,"149,360","110,000",30,1.36,1.42,1.58,1.94,2月23日,0.99,2月4日,
073705 新日興元大04購01,"12,340","56,000",6,0.22,0.22,0.22,0.25,2月1日,0.19,2月18日,
073706 玉晶光元大04購04,"177,290","695,000",24,0.26,0.28,0.19,0.47,2月3日,0.19,2月26日,
073707 玉晶光元大04購05,"91,620","163,000",21,0.56,0.54,0.46,0.7,2月3日,0.42,2月17日,
073709 玉晶光元大04購07,"340,720","478,000",13,0.71,0.64,0.64,0.77,2月22日,0.43,2月17日,
073710 玉晶光元大04購08,"4,690","13,000",4,0.36,0.37,0.36,0.48,2月3日,0.26,2月5日,
073711 玉晶光元大07購02,"1,884,990","2,597,000",88,0.73,0.7,0.68,0.83,2月3日,0.57,2月17日,
073712 智易元大04購03,"213,870","391,000",12,0.55,0.55,0.51,0.58,2月2日,0.51,2月4日,
073714 彩晶元大04購04,"32,800","10,000",3,3.28,3.3,3.5,3.5,2月3日,3.1,2月2日,
073715 世紀鋼元大06購02,"866,250","2,055,000",39,0.42,0.41,0.43,0.58,2月26日,0.34,2月17日,
073718 T50反1國票09購01,"5,000","100,000",1,0.05,0.05,0.05,0.05,2月24日,0.05,2月24日,
073719 T50反1國票0A購01,"38,800","305,000",7,0.13,0.12,0.1,0.19,2月1日,0.09,2月2日,
073720 道瓊銀國票05購01,"658,850","425,000",25,1.55,1.49,1.27,2.16,2月1日,1.25,2月19日,
073721 寶齡國票04購01,"26,150","972,000",24,0.03,0.03,0.02,0.04,2月23日,0.02,2月26日,
073722 鴻海國票05購03,"545,450","61,000",6,8.94,8,8.65,9.95,2月2日,6.4,2月19日,
073723 台光電國票05購01,"818,730","1,138,000",26,0.72,0.78,0.91,0.91,2月26日,0.63,2月1日,
073725 大立光國票05購03,"1,416,970","1,186,000",11,1.19,1.16,1.24,1.24,2月19日,1.07,2月18日,
073726 欣興國票05購02,"12,367,270","17,713,000",532,0.7,0.68,0.8,1.17,2月24日,0.31,2月4日,
073727 玉晶光國票05購04,"3,486,950","7,413,000",98,0.47,0.43,0.37,0.6,2月3日,0.32,2月17日,
073728 玉晶光國票05購05,"17,400","40,000",2,0.44,0.44,0.37,0.5,2月22日,0.37,2月23日,
073729 健策國票05購01,"323,230","485,000",27,0.67,0.56,0.57,0.81,2月22日,0.35,2月2日,
073730 緯穎國票05購01,"597,990","530,000",47,1.13,1.1,0.8,1.4,2月17日,0.8,2月26日,
073731 大立光富邦06購01,"579,640","1,104,000",59,0.53,0.48,0.48,0.64,2月23日,0.34,2月2日,
073733 超眾富邦06購01,"3,200","20,000",2,0.16,0.16,0.15,0.17,2月23日,0.15,2月25日,
073734 聯發科國泰06購02,"967,520","288,000",3,3.36,3.28,3.36,3.36,2月5日,3.2,2月3日,
073735 大立光國泰06購03,"4,415,720","5,646,000",191,0.78,0.8,0.78,1.16,2月25日,0.47,2月1日,
073736 大立光台新04購01,"172,550","226,000",5,0.76,0.77,0.88,0.89,2月23日,0.61,2月19日,
073737 上銀統一06購02,"219,030","109,000",11,2.01,1.99,1.9,2.24,2月17日,1.74,2月1日,
