公司代號,公司名稱,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入)
3576,聯合再生,3004.97,-1.57,-15.33,-18.32,-18.44
3583,辛耘,956.56,27.82,1.34,3.8,2.1
3588,通嘉,429.35,34.5,9.82,9.3,7.64
3591,艾笛森,541.55,24.87,7.61,8.15,6.98
3593,力銘,168.42,16.87,1.75,0.39,0.04
3596,智易,9624.82,14.1,6.4,6.07,4.73
3605,宏致,2303.01,23.94,6.58,8.19,6.55
3607,谷崧,940.68,6,-8.57,-6.54,-6.57
3617,碩天,2260.11,37.14,3.91,4.43,3.27
3622,洋華,337.23,20.96,6.78,10.68,10.57
3645,達邁,597.62,36.39,20.86,19.54,14.81
3653,健策,1853.66,30.69,17.25,15.52,11.69
3661,世芯-KY,2658.68,36.37,18.84,19.09,14.58
3665,貿聯-KY,6134.21,22.2,6.56,7.04,5.02
3669,圓展,1000.14,54.71,24.35,23.49,20.35
3673,TPK-KY,29185.51,2.86,0.23,1.28,1.16
3679,新至陞,1404.29,30.7,22.04,24.48,15.52
3682,亞太電,3046.69,-2.66,-42.89,-42.74,-46.55
3686,達能,33.08,-24.22,-52.4,-58.17,-58.17
3694,海華,2439.57,9.52,0.46,0.26,0.24
3701,大眾控,2179.47,11.88,1.23,3.56,2.8
3702,大聯大,177114.91,3.71,1.69,1.68,1.39
3703,欣陸,6352.68,15.64,10.11,8.85,7.93
3704,合勤控,6876.87,19.36,3.24,2.42,1.83
3705,永信,1778.83,47.83,11.52,12.36,9.48
3706,神達,11427.52,9.15,-0.18,6.14,5.92
3708,上緯投控,2625.46,13.69,2.96,2.84,3.11
3711,日月光投控,119469.78,18.44,9.26,9.49,7.41
3712,永崴投控,2251,26.38,12.51,12.35,8.97
3714,富采,6878.86,13.65,-4.79,-5.01,-5.33
4104,佳醫,1629.33,21.13,9.72,12.37,9.95
4106,雃博,580.87,42.25,8,7.21,5.11
4108,懷特,25.17,42.02,-149.31,-139.19,-139.19
4119,旭富,323.63,29.62,17.72,16.03,12.88
4133,亞諾法,114.33,45.05,10.48,10.67,8.54
4137,麗豐-KY,1108.18,84.27,35.29,42.79,28.03
4141,龍燈-KY,2110.79,33.63,0.17,-8.6,-10.58
4142,國光生,6.93,-1184.73,-4009.41,-3754.13,-3754.13
4148,全宇生技-KY,409.86,19.92,7.12,10.28,6.97
4155,訊映,295.95,17.16,6.11,11.77,9.24
4164,承業醫,641.06,34.32,21.83,22.21,16.39
4190,佐登-KY,727.92,74.64,14.22,14.15,9.81
4306,炎洲,3938.33,16.25,6.49,28.42,25.48
4414,如興,4294.61,11.45,-5.99,-6.07,-5.82
4426,利勤,223.38,-12.92,-31.05,-31.99,-25.82
4438,廣越,1549.04,9.72,-7.96,-7.26,-5.69
4439,冠星-KY,1505.18,20.7,10.79,10.66,8.4
4526,東台,1835.72,17.89,-3.52,-5.35,-4.29
4532,瑞智,5830.12,10.59,3.41,3.7,2.5
4536,拓凱,2009.96,27.73,13.57,16,12.51
4540,全球傳動,644.86,26.56,3.69,3.77,1.41
4545,銘鈺,457.5,18.23,0.93,1.43,0.35
4551,智伸科,2262.28,26.68,17.85,19.62,15.09
4552,力達-KY,896.74,21.37,8.57,8.42,5.64
4555,氣立,447.58,36.25,14.45,13.28,10.32
4557,永新-KY,396.08,27.11,9.73,12.1,10.05
4560,強信-KY,341.23,33.8,9.47,7.78,5.56
4562,穎漢,178.92,23.71,-15.82,-12.81,-12.89
4564,元翎,581.91,30.29,21.91,20.65,16.14
4566,時碩工業,1132.69,20.52,4.95,6.24,4.78
4571,鈞興-KY,726.53,33.1,18.43,20.47,17.58
4572,駐龍,73.37,29.87,7.61,9.34,7.65
4576,大銀微系統,694.98,35.81,10.91,11.19,9.55
