,民國110年03月,,,,,,,March 2021,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
2910   統領,"16,591,505","497,488",481,33.35,32.92,32.00,37.70,03/04,31.20,03/24,0.24
2911   麗嬰房,"50,214,693","7,041,899","5,534",7.13,7.12,7.18,7.32,03/03,6.67,03/02,3.81
2912   統一超,"10,142,830,675","36,986,664","33,654",274.23,275.02,272.00,281.00,03/11,264.00,03/02,3.56
2913   農林,"734,383,248","42,821,524","13,985",17.15,17.13,17.45,17.70,03/30,16.65,03/04,6.06
2915   潤泰全,"9,456,719,914","119,330,205","58,023",79.25,79.34,79.70,83.60,03/18,74.40,03/03,21.13
2929   淘帝-KY,"413,132,899","32,232,340","14,517",12.82,12.10,9.40,16.30,03/16,7.20,03/26,29.44
2936   客思達-KY,"110,825,399","4,862,764","2,700",22.79,21.22,27.95,27.95,03/31,19.30,03/11,6.35
2939   凱羿-KY,"61,288,384","1,788,765",973,34.26,34.26,35.00,36.60,03/05,27.70,03/25,3.93
4807   日成-KY,"9,276,688","368,479",981,25.18,25.33,25.15,26.40,03/10,23.25,03/25,0.96
5906   台南-KY,"32,928,181","695,881",671,47.32,47.20,45.25,50.20,03/16,44.10,03/24,2.32
5907   大洋-KY,"99,757,181","4,953,664","2,974",20.14,20.15,20.40,21.00,03/31,19.50,03/23,2.53
8429   金麗-KY,"67,190,622","7,810,703","6,043",8.60,8.56,8.34,9.14,03/15,8.26,03/23,4.21
8443   阿瘦,"35,392,680","3,021,777","3,117",11.71,11.70,11.70,12.60,03/09,10.75,03/04,4.52
8454   富邦媒,"3,544,521,158","3,904,808","8,357",907.73,904.86,990.00,990.00,03/31,823.00,03/09,2.79
21 化學工業類,,,,,,,,,,,
Chemical,,,,,,,,,,,
1708   東?,"407,428,880","17,310,339","13,178",23.54,23.17,24.60,24.60,03/31,22.35,03/02,7.58
1709   和益,"470,073,408","29,595,230","10,586",15.88,15.42,16.80,17.00,03/29,14.45,03/03,6.20
1710   東聯,"1,907,832,718","94,005,825","35,119",20.29,20.11,19.45,21.60,03/11,18.90,03/24,10.61
1711   永光,"727,326,943","43,191,500","19,574",16.84,16.58,16.80,17.60,03/24,16.20,03/09,7.89
1712   興農,"848,133,682","38,011,069","16,451",22.31,22.09,23.10,23.45,03/31,21.40,03/05,9.04
