,民國110年03月,,,,,,,March 2021,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
076535 華立元大05購02,"6,745,770","5,318,000",161,1.27,1.22,1.10,1.55,03/24,1.07,03/09,
076536 健策元大06購02,"2,975,410","2,301,000",130,1.29,1.53,1.26,2.03,03/04,0.90,03/29,
076537 貿聯元大05購01,"1,550,390","910,000",35,1.70,1.64,1.19,2.36,03/02,1.17,03/29,
076538 貿聯元大05購02,"179,120","120,000",11,1.49,1.68,1.41,1.90,03/11,1.37,03/26,
076539 上緯控元大05購05,"106,100","190,000",6,0.56,0.51,0.26,0.69,03/03,0.26,03/25,
076540 泰鼎元大05購02,"69,400","260,000",3,0.27,0.27,0.21,0.31,03/02,0.21,03/05,
076541 瀚宇博元大05購03,"1,477,660","1,284,000",50,1.15,1.06,1.04,1.53,03/24,0.93,03/05,
076542 矽格元大05購02,"608,420","297,000",24,2.05,2.11,2.26,2.27,03/02,1.77,03/09,
076543 訊芯元大05購02,"179,930","300,000",10,0.60,0.59,0.52,0.66,03/22,0.52,03/26,
076550 中興電統一07購01,"1,424,990","1,174,000",82,1.21,1.18,1.15,1.32,03/16,1.04,03/25,
076551 台積電統一07購03,"12,705,880","6,298,000",671,2.02,2.12,1.75,2.75,03/02,1.48,03/25,
076552 A50正2元富05購03,"1,693,520","946,000",78,1.79,1.97,1.69,2.64,03/12,1.26,03/25,
076553 中興電元富05購01,"966,430","1,067,000",43,0.91,0.86,0.73,1.05,03/04,0.68,03/25,
076554 中興電元富07購01,"140,200","120,000",5,1.17,1.20,1.05,1.45,03/04,1.05,03/25,
076555 全新元富08購01,"3,906,640","3,237,000",48,1.21,1.19,1.37,1.41,03/24,0.94,03/10,
076556 長榮元富05購01,"9,500","1,000",1,9.50,9.50,9.50,9.50,03/18,9.50,03/18,
076558 國泰金元富05購01,"9,912,740","4,090,000",210,2.42,2.38,3.40,3.70,03/31,1.19,03/04,
076559 中興電國泰07購01,"10,054,570","6,609,000",248,1.52,1.51,1.45,1.83,03/15,1.28,03/25,
076560 中興電國泰08購01,"9,708,560","6,644,000",323,1.46,1.40,1.41,1.69,03/15,1.19,03/25,
076561 台積電國泰07購08,"32,400,810","5,471,000",214,5.92,6.00,5.30,7.15,03/12,4.42,03/25,
076562 中興電富邦06購01,"3,426,700","5,322,000",225,0.64,0.58,0.51,0.82,03/15,0.44,03/25,
076563 國巨富邦07購02,"914,720","304,000",38,3.01,3.00,2.81,3.44,03/03,2.56,03/19,
076564 華碩富邦06購01,"8,704,630","7,004,000",575,1.24,1.72,2.43,2.63,03/22,1.02,03/03,
076565 聯發科富邦08購01,"20,070,350","8,829,000",464,2.27,2.12,2.75,2.83,03/31,1.68,03/10,
076566 創意富邦06購02,"1,979,980","3,031,000",164,0.65,0.76,0.60,1.33,03/02,0.49,03/25,
076567 嘉聯益富邦06購02,"151,490","450,000",34,0.34,0.35,0.32,0.41,03/02,0.26,03/25,
076568 中興電永豐05購01,"11,217,200","9,752,000",335,1.15,1.14,0.91,1.51,03/15,0.83,03/25,
076569 中興電永豐05購02,"3,938,180","2,816,000",163,1.40,1.36,1.28,1.63,03/15,1.12,03/26,
076571 台積電永豐05購03,"264,260","78,000",6,3.39,3.24,3.09,3.47,03/04,3.07,03/05,
076572 光罩永豐05購01,"520,000","100,000",1,5.20,5.20,5.20,5.20,03/12,5.20,03/12,
076573 全新永豐05購02,"481,060","288,000",21,1.67,1.72,1.98,2.02,03/23,1.39,03/08,
076574 美食永豐05購02,"3,179,460","3,493,000",108,0.91,0.92,1.19,1.25,03/30,0.66,03/18,
076575 玉晶光永豐05購02,"47,480","163,000",11,0.29,0.27,0.18,0.34,03/08,0.18,03/23,
076576 科嘉永豐05購01,"635,770","1,580,000",74,0.40,0.37,0.30,0.49,03/19,0.27,03/25,
076577 嘉聯益永豐05購01,"941,850","1,260,000",41,0.75,0.73,0.75,0.83,03/02,0.61,03/09,
076578 盛群永豐05購01,"515,460","279,000",28,1.85,1.84,2.27,2.27,03/31,1.59,03/05,
076579 矽創永豐05購01,"32,840","11,000",3,2.99,3.04,3.19,3.19,03/17,2.84,03/03,
076580 聯發科第一05購01,"235,260","132,000",7,1.78,1.82,1.89,1.89,03/29,1.66,03/26,
076581 T50反1中信09購01,"1,547,210","5,065,000",58,0.31,0.30,0.22,0.39,03/09,0.22,03/31,
076582 上証2X中信06購01,"1,990,050","1,374,000",96,1.45,1.34,1.11,1.85,03/03,1.02,03/22,
076583 上証反中信06購01,"941,450","3,938,000",86,0.24,0.24,0.24,0.31,03/25,0.18,03/04,
076584 滬深反中信07購01,"1,928,830","5,930,000",52,0.33,0.33,0.31,0.41,03/25,0.22,03/03,
076585 台積電中信09購01,"215,570","87,000",11,2.48,2.49,2.35,2.99,03/05,2.16,03/25,
076586 台積電中信09購02,"50,400","26,000",10,1.94,1.98,2.00,2.19,03/11,1.77,03/24,
076587 台積電中信09購03,"960,550","535,000",16,1.80,1.66,1.53,1.88,03/02,1.53,03/30,
076588 華碩中信07購01,"1,624,200","1,000,000",149,1.62,1.84,2.72,2.98,03/19,1.17,03/03,
076589 中鋼兆豐05購01,"2,398,050","1,774,000",185,1.35,1.36,1.45,1.70,03/10,1.11,03/26,
076591 國巨兆豐06購03,"469,340","134,000",16,3.50,3.78,3.54,4.21,03/12,3.35,03/26,
076592 技嘉兆豐05購01,"826,030","548,000",69,1.51,1.76,2.30,2.37,03/31,1.13,03/05,
076593 奇力新兆豐08購01,"2,318,900","6,449,000",106,0.36,0.35,0.30,0.52,03/02,0.29,03/31,
076594 京鼎兆豐05購01,"696,680","576,000",22,1.21,1.27,1.45,1.48,03/25,1.10,03/18,
076595 T50反1群益05購07,"202,120","2,869,000",88,0.07,0.07,0.04,0.12,03/08,0.04,03/31,
076596 T50反1群益05購08,"31,570","837,000",18,0.04,0.06,0.01,0.11,03/05,0.01,03/29,
076597 鴻海群益05購03,"5,073,900","269,000",33,18.86,18.89,15.90,23.90,03/23,15.20,03/16,
076598 台積電群益05購15,"6,990","2,000",2,3.50,3.50,3.24,3.75,03/08,3.24,03/19,
076603 臺股指群益05購10,"82,000","10,000",1,8.20,8.20,8.20,8.20,03/02,8.20,03/02,
076608 台玻國票06購01,"2,667,930","2,116,000",73,1.26,1.18,1.08,1.48,03/03,0.94,03/26,
076609 鴻海國票07購01,"1,005,400","89,000",14,11.30,12.50,12.20,17.00,03/18,7.05,03/08,
076610 智邦國票07購01,"990,610","1,317,000",24,0.75,0.75,0.82,0.96,03/02,0.63,03/05,
076611 金像電國票06購01,"157,200","100,000",3,1.57,1.69,1.52,1.85,03/05,1.52,03/17,
076612 台光電國票08購01,"89,610","125,000",4,0.72,0.67,0.61,0.85,03/02,0.59,03/09,
076613 南亞科國票07購01,"576,400","173,000",19,3.33,3.31,2.93,3.80,03/18,2.93,03/22,
076614 華立國票06購01,"511,620","494,000",19,1.04,1.03,1.02,1.15,03/24,0.98,03/24,
076615 台表科國票06購02,"29,490","67,000",9,0.44,0.42,0.50,0.50,03/22,0.27,03/09,
076616 訊芯國票06購01,"1,783,810","3,347,000",52,0.53,0.52,0.52,0.57,03/22,0.45,03/05,
076619 臺股指國票05購03,"474,500","48,000",26,9.89,9.96,11.60,11.70,03/29,8.40,03/25,
076620 國巨麥證08購01,"753,040","178,000",70,4.23,4.15,4.04,4.95,03/03,3.69,03/25,
076621 臺股指麥證05購08,"2,464,510","366,000",42,6.73,6.15,7.40,7.80,03/18,4.10,03/05,
076622 中興電元大05購03,"3,581,870","3,916,000",171,0.91,0.90,0.71,1.12,03/15,0.63,03/25,
076623 中興電元大06購01,"5,273,830","3,389,000",178,1.56,1.48,1.35,1.80,03/15,1.27,03/25,
076624 T50反1元大07購02,"80,600","2,420,000",50,0.03,0.06,0.03,0.14,03/05,0.02,03/30,
076625 T50反1元大08購07,"39,580","878,000",35,0.05,0.07,0.03,0.10,03/11,0.03,03/30,
076626 S&P反1元大07購02,"512,760","3,228,000",41,0.16,0.16,0.11,0.24,03/05,0.11,03/30,
076627 臺指反元大08購01,"38,640","334,000",14,0.12,0.15,0.12,0.17,03/10,0.04,03/31,
076630 鴻海元大06購04,"38,250","6,000",4,6.38,6.38,6.35,6.40,03/10,6.35,03/11,
076631 鴻海元大07購03,"107,300","16,000",9,6.71,6.94,7.75,7.75,03/16,5.80,03/03,
076632 台積電元大05購15,"898,530","384,000",78,2.34,2.48,1.68,3.80,03/02,1.09,03/25,
076633 台積電元大07購03,"389,680","141,000",35,2.76,2.74,2.60,3.05,03/12,2.22,03/25,
076634 台積電元大07購04,"1,891,200","521,000",83,3.63,4.03,3.34,5.00,03/12,2.62,03/25,
076636 華碩元大06購01,"685,630","177,000",16,3.87,4.06,6.15,6.15,03/19,3.16,03/05,
076637 瑞昱元大05購03,"1,521,100","693,000",103,2.19,2.23,2.89,3.06,03/30,1.67,03/09,
076638 漢唐元大05購01,"3,576,190","3,073,000",120,1.16,1.13,1.26,1.40,03/25,0.86,03/11,
076639 聯發科元大07購03,"31,460","12,000",11,2.62,2.66,2.71,2.81,03/08,2.51,03/09,
076640 強茂元大06購01,"1,980,030","921,000",112,2.15,2.13,2.26,2.76,03/02,1.62,03/09,
076641 國揚元大05購04,"716,600","992,000",37,0.72,0.69,0.44,0.86,03/09,0.44,03/31,
076642 富邦金元大07購01,"6,555,720","2,084,000",261,3.15,3.43,4.28,4.70,03/31,2.26,03/05,
076643 玉晶光元大06購06,"39,000","260,000",2,0.15,0.20,0.13,0.26,03/08,0.13,03/25,
076644 京鼎元大05購03,"2,343,140","1,792,000",88,1.31,1.23,1.09,1.77,03/02,0.94,03/10,
076645 健策元大05購03,"5,563,830","4,584,000",110,1.21,1.31,0.89,2.01,03/02,0.59,03/26,
076646 茂林元大06購01,"403,500","845,000",48,0.48,0.49,0.45,0.63,03/15,0.42,03/26,
076647 嘉聯益元大05購04,"18,540","42,000",4,0.44,0.43,0.35,0.49,03/02,0.35,03/19,
076648 愛普元大05購03,"9,950","1,000",1,9.95,9.95,9.95,9.95,03/29,9.95,03/29,
076649 惠特元大05購02,"957,510","1,200,000",36,0.80,0.76,0.81,1.08,03/17,0.65,03/03,
076650 台虹元大05購02,"203,700","652,000",19,0.31,0.32,0.24,0.41,03/03,0.24,03/25,
076652 台光電統一06購01,"4,410,620","4,877,000",105,0.90,0.89,0.79,1.18,03/02,0.74,03/26,
076653 致伸統一06購01,"1,262,930","510,000",80,2.48,2.33,2.58,2.63,03/19,2.04,03/08,
076654 嘉聯益統一07購02,"1,393,580","2,152,000",80,0.65,0.64,0.60,0.72,03/23,0.54,03/25,
076655 愛普統一07購02,"868,420","202,000",18,4.30,4.58,4.99,5.75,03/18,3.25,03/03,
076657 T50反1元富05購03,"29,980","845,000",35,0.04,0.04,0.04,0.05,03/05,0.02,03/19,
076663 台積電元富05購02,"216,340","62,000",4,3.49,3.42,3.53,3.53,03/30,3.23,03/22,
076664 台積電元富05購03,"851,170","284,000",31,3.00,3.18,2.93,3.94,03/16,2.39,03/25,
076667 美食元富05購01,"459,960","253,000",29,1.82,1.68,2.12,2.22,03/30,1.19,03/17,
076668 泰鼎元富08購01,"782,590","1,252,000",42,0.63,0.50,0.37,0.75,03/02,0.37,03/31,
076669 嘉聯益元富05購03,"69,000","100,000",2,0.69,0.69,0.69,0.69,03/04,0.69,03/04,
076671 T50反1凱基05購03,"51,810","1,201,000",23,0.04,0.06,0.03,0.13,03/08,0.03,03/30,
076673 鴻海凱基06購03,"38,700","4,000",3,9.68,10.00,10.50,10.50,03/18,9.20,03/17,
076674 台積電凱基05購11,"2,754,880","929,000",222,2.97,2.88,2.37,3.66,03/02,1.94,03/25,
076675 台積電凱基09購01,"23,317,520","19,394,000","1,769",1.20,1.22,1.12,1.57,03/02,0.91,03/24,
076677 聯發科凱基05購09,"1,144,260","294,000",25,3.89,4.07,4.55,4.55,03/17,3.52,03/09,
076678 大立光凱基05購10,"119,830","83,000",12,1.44,1.35,1.50,1.50,03/10,1.16,03/03,
076679 欣興凱基05購08,"2,711,710","1,292,000",115,2.10,2.15,2.11,2.59,03/12,1.70,03/25,
076680 景碩凱基06購01,"2,686,960","1,371,000",108,1.96,1.85,2.98,3.20,03/31,1.32,03/22,
076681 緯創凱基05購01,"1,277,130","1,478,000",117,0.86,0.77,0.69,1.05,03/23,0.65,03/05,
076682 健策凱基05購03,"425,530","415,000",34,1.03,1.27,0.71,1.99,03/02,0.71,03/31,
076683 泰鼎凱基05購01,"198,030","660,000",23,0.30,0.23,0.17,0.36,03/02,0.17,03/12,
076684 臻鼎凱基06購01,"1,016,280","1,620,000",49,0.63,0.63,0.60,0.78,03/22,0.50,03/09,
076685 力成凱基05購01,"388,600","277,000",29,1.40,1.39,1.52,1.55,03/18,1.21,03/05,
076686 矽格凱基05購01,"779,060","254,000",23,3.07,3.08,3.00,3.39,03/16,2.85,03/04,
076687 訊芯凱基05購01,"89,790","146,000",6,0.62,0.62,0.55,0.65,03/18,0.55,03/19,
076688 愛普凱基05購02,"10,250","2,000",2,5.12,5.12,4.95,5.30,03/02,4.95,03/03,
076689 矽創凱基05購01,"301,400","62,000",7,4.86,5.06,5.85,5.85,03/17,4.38,03/02,
076690 寶成凱基05購01,"925,970","1,008,000",51,0.92,0.90,0.82,1.06,03/18,0.65,03/05,
076691 鴻海國泰07購03,"5,966,850","696,000",26,8.57,7.71,8.65,10.00,03/23,5.40,03/02,
076692 鴻海國泰07購04,"3,536,900","108,000",28,32.75,29.06,30.50,38.10,03/23,20.20,03/09,
076694 台灣50富邦06購01,"142,630","52,000",7,2.74,2.92,3.07,3.29,03/02,2.66,03/05,
076695 A50正2富邦07購01,"5,087,630","4,066,000",193,1.25,1.21,0.90,2.26,03/02,0.76,03/25,
076696 SP黃豆富邦08購02,"1,392,110","1,296,000",96,1.07,1.05,0.75,1.34,03/08,0.73,03/31,
076697 智邦富邦05購01,"713,510","1,684,000",71,0.42,0.42,0.44,0.55,03/02,0.32,03/09,
076698 宏達電富邦05購01,"53,140","310,000",6,0.17,0.19,0.16,0.25,03/03,0.16,03/23,
076699 聯詠富邦07購01,"2,473,770","656,000",179,3.77,3.92,6.10,6.10,03/31,2.88,03/05,
076700 南六富邦07購01,"253,750","824,000",15,0.31,0.30,0.28,0.50,03/09,0.27,03/09,
076701 南電富邦05購01,"5,450","1,000",1,5.45,5.45,5.45,5.45,03/30,5.45,03/30,
076702 美利達富邦05購01,"5,047,140","6,315,000",241,0.80,0.80,1.46,1.46,03/30,0.47,03/05,
076703 臺股指富邦05購02,"1,470,970","918,000",78,1.60,1.61,1.49,1.83,03/18,1.29,03/05,
076705 台玻永豐05購02,"1,186,290","696,000",31,1.70,1.59,1.39,1.98,03/04,1.32,03/24,
076706 東鋼永豐05購01,"3,992,440","2,046,000",160,1.95,2.19,3.58,3.85,03/29,1.38,03/02,
076708 美律永豐05購01,"172,860","502,000",19,0.34,0.33,0.20,0.45,03/03,0.20,03/24,
076710 眾達永豐05購01,"55,960","222,000",14,0.25,0.26,0.21,0.33,03/17,0.21,03/30,
076711 訊芯永豐05購02,"1,432,540","2,659,000",67,0.54,0.52,0.50,0.60,03/02,0.46,03/12,
076712 南六永豐05購01,"270,870","702,000",31,0.39,0.36,0.31,0.45,03/15,0.30,03/04,
076713 寶成永豐05購01,"1,751,610","2,294,000",67,0.76,0.77,0.79,0.97,03/18,0.62,03/08,
076716 萬海中信06購01,"4,221,480","5,736,000",272,0.74,0.65,0.87,1.02,03/31,0.49,03/08,
076717 聯茂中信06購01,"47,400","175,000",6,0.27,0.32,0.22,0.48,03/03,0.22,03/31,
076718 臺指反群益05購01,"9,050","301,000",9,0.03,0.04,0.03,0.05,03/12,0.03,03/24,
076719 元油反群益05購01,"64,230","1,089,000",16,0.06,0.05,0.03,0.07,03/04,0.03,03/08,
076720 南紡群益05購01,"2,390,560","1,978,000",108,1.21,0.94,1.58,1.86,03/29,0.57,03/10,
076721 光罩群益05購01,"4,227,080","667,000",43,6.34,5.48,9.10,9.10,03/24,3.19,03/11,
076722 瀚宇博群益05購01,"3,905,150","2,916,000",140,1.34,1.28,1.35,1.93,03/24,1.04,03/09,
076723 鴻海兆豐06購01,"969,710","170,000",10,5.70,5.30,5.40,6.20,03/18,4.14,03/11,
076724 京元電兆豐06購01,"216,670","90,000",14,2.41,2.26,2.26,2.68,03/02,2.12,03/05,
076725 聯發科兆豐05購07,"4,806,310","1,497,000",118,3.21,3.16,4.33,4.58,03/31,2.34,03/09,
076726 臻鼎兆豐06購02,"7,338,160","11,027,000",535,0.67,0.66,0.55,0.81,03/22,0.55,03/31,
076727 瀚宇博兆豐06購02,"2,357,290","1,983,000",88,1.19,1.20,1.29,1.42,03/24,1.04,03/09,
076728 國泰金麥證05購02,"5,809,480","6,432,000",217,0.90,0.87,1.08,1.18,03/31,0.57,03/19,
076729 榮成康和05購01,"621,880","180,000",22,3.45,3.36,2.96,4.16,03/11,2.67,03/24,
076730 興勤康和05購01,"4,879,880","1,266,000",86,3.85,3.88,3.28,5.25,03/03,3.15,03/25,
076731 美食康和05購01,"2,819,230","4,323,000",92,0.65,0.59,0.66,0.82,03/30,0.39,03/17,
076732 滬深2X凱基05購06,"208,150","90,000",9,2.31,2.30,1.95,2.66,03/04,1.95,03/12,
076733 長興凱基05購01,"518,930","894,000",64,0.58,0.55,0.43,0.73,03/02,0.42,03/19,
076734 台玻凱基05購01,"1,453,330","670,000",49,2.17,2.25,2.04,2.64,03/02,1.77,03/26,
076735 廣宇凱基06購01,"72,150","10,000",5,7.22,7.37,8.25,8.25,03/23,6.50,03/17,
076736 台積電凱基06購06,"1,666,490","680,000",92,2.45,2.53,1.83,3.42,03/03,1.50,03/25,
076737 台積電凱基07購08,"6,588,170","2,497,000",529,2.64,3.03,2.45,4.27,03/02,2.00,03/25,
076738 台積電凱基08購05,"4,092,600","797,000",238,5.14,5.50,4.45,7.75,03/03,3.81,03/25,
076741 順德凱基06購01,"1,535,400","1,472,000",105,1.04,1.14,0.94,2.00,03/02,0.75,03/25,
076742 技嘉凱基05購02,"7,498,000","3,160,000",334,2.37,2.29,2.77,2.90,03/22,1.36,03/05,
076743 聯發科凱基06購06,"3,674,800","1,004,000",131,3.66,3.12,4.07,4.09,03/31,2.28,03/23,
076744 宏達電凱基05購01,"2,477,110","3,794,000",86,0.65,0.66,0.96,0.96,03/31,0.55,03/09,
076745 萬海凱基05購03,"6,533,970","2,119,000",476,3.08,3.19,4.68,4.68,03/31,2.41,03/09,
076746 長榮航凱基06購01,"13,704,280","7,837,000",324,1.75,1.67,1.55,2.29,03/02,1.35,03/25,
076747 美食凱基05購02,"757,950","878,000",60,0.86,0.77,1.10,1.15,03/30,0.57,03/24,
076748 大立光凱基05購11,"29,630","64,000",14,0.46,0.48,0.50,0.50,03/03,0.45,03/02,
076749 嘉聯益凱基07購02,"193,490","477,000",20,0.41,0.43,0.38,0.47,03/23,0.38,03/29,
076750 台表科凱基05購03,"57,440","160,000",6,0.36,0.35,0.35,0.38,03/16,0.35,03/16,
076752 惠特凱基05購02,"263,540","360,000",22,0.73,0.72,0.70,0.81,03/17,0.52,03/08,
076754 世紀鋼凱基05購04,"472,560","1,055,000",19,0.45,0.49,0.21,0.61,03/04,0.21,03/30,
076755 台灣50元大05購11,"1,155,000","220,000",3,5.25,5.25,5.25,5.25,03/08,5.25,03/08,
076756 台灣50元大05購12,"2,069,180","468,000",17,4.42,4.46,4.61,4.61,03/11,4.29,03/08,
076757 T50正2元大08購06,"109,910","20,000",6,5.50,5.50,5.90,6.05,03/29,4.68,03/09,
076758 FBVIX元大05購04,"1,000","2,000",1,0.50,0.50,0.50,0.50,03/15,0.50,03/15,
076759 SP黃豆元大08購01,"3,426,480","3,507,000",160,0.98,0.95,0.76,1.16,03/08,0.73,03/31,
076760 中興電元大06購02,"11,802,520","11,116,000",311,1.06,1.00,0.90,1.27,03/15,0.83,03/26,
076761 台玻元大05購01,"2,497,670","1,582,000",55,1.58,1.61,1.35,2.09,03/02,1.35,03/26,
076762 東鋼元大06購01,"10,194,190","5,276,000",494,1.93,2.26,3.51,4.03,03/29,1.41,03/02,
076764 精英元大05購02,"973,300","234,000",6,4.16,4.32,5.20,5.30,03/19,4.00,03/02,
076765 旺宏元大05購02,"68,010","31,000",11,2.19,2.27,2.23,2.98,03/02,1.79,03/10,
076766 旺宏元大05購03,"5,767,560","2,902,000",222,1.99,1.94,1.97,2.77,03/02,1.32,03/08,
076767 旺宏元大06購01,"10,828,930","4,477,000",444,2.42,2.34,2.39,3.65,03/02,1.60,03/09,
076768 智邦元大05購02,"1,311,260","1,731,000",83,0.76,0.76,0.84,1.05,03/02,0.59,03/09,
076769 佳世達元大05購01,"6,008,770","1,986,000",176,3.03,3.29,4.96,4.96,03/31,2.62,03/09,
076770 微星元大05購02,"4,456,750","1,854,000",91,2.40,2.41,3.37,3.37,03/30,1.38,03/05,
076771 京元電元大05購01,"8,009,630","4,165,000",190,1.92,1.90,2.04,2.31,03/24,1.40,03/05,
076772 晶技元大05購02,"773,970","372,000",53,2.08,2.08,2.17,2.30,03/12,1.68,03/09,
076773 玉晶光元大08購03,"42,560","119,000",9,0.36,0.38,0.33,0.50,03/03,0.32,03/29,
076774 嘉聯益元大06購02,"946,760","987,000",76,0.96,0.92,0.82,1.07,03/23,0.77,03/26,
076777 嘉聯益統一06購03,"199,820","362,000",18,0.55,0.51,0.46,0.60,03/02,0.46,03/19,
076778 道瓊銀元富05購01,"51,000","40,000",4,1.28,1.27,1.17,1.35,03/11,1.17,03/17,
076779 道瓊銀元富05購02,"242,900","420,000",6,0.58,0.71,0.33,0.86,03/10,0.33,03/31,
076781 國巨元富05購02,"131,500","20,000",2,6.58,6.58,6.45,6.70,03/18,6.45,03/22,
076783 富邦金元富05購01,"6,338,140","1,433,000",138,4.42,5.18,7.00,7.10,03/11,3.37,03/05,
076784 開發金元富05購01,"11,407,810","8,884,000",326,1.28,1.50,1.97,2.07,03/26,0.98,03/03,
076785 玉山金元富05購01,"1,506,550","1,418,000",50,1.06,1.06,1.00,1.25,03/10,0.94,03/03,
076786 景碩元富05購03,"5,004,070","1,134,000",86,4.41,3.99,5.95,6.75,03/31,2.81,03/24,
076787 台表科元富08購02,"596,740","855,000",58,0.70,0.73,0.70,0.86,03/02,0.52,03/09,
076788 南茂元富05購01,"808,670","488,000",46,1.66,1.82,3.00,3.00,03/30,1.37,03/09,
076789 國喬國票06購01,"829,050","1,376,000",27,0.60,0.64,0.80,0.80,03/31,0.48,03/23,
076790 中鋼國票06購01,"2,181,510","2,139,000",75,1.02,1.00,1.08,1.15,03/11,0.86,03/26,
076791 為升國票06購02,"1,702,070","1,648,000",42,1.03,1.10,1.18,1.24,03/04,0.84,03/15,
076793 台積電國票06購03,"103,750","30,000",2,3.46,3.52,3.43,3.60,03/11,3.43,03/18,
076794 台積電國票06購04,"27,937,430","8,556,000",261,3.27,3.61,2.73,4.74,03/02,2.18,03/25,
076795 台積電國票06購05,"3,970,220","1,527,000",138,2.60,2.90,2.00,3.98,03/12,1.58,03/25,
076796 台積電國票07購03,"316,920","86,000",28,3.69,3.43,3.14,4.05,03/12,2.80,03/25,
076797 台積電國票08購04,"9,679,260","2,654,000",217,3.65,3.45,2.89,4.58,03/02,2.31,03/25,
076798 聯發科國票07購03,"52,290","18,000",2,2.90,2.90,3.07,3.07,03/25,2.74,03/24,
076799 聯發科國票07購04,"1,576,630","364,000",36,4.33,4.04,4.82,4.97,03/31,3.21,03/24,
076800 聯發科國票07購05,"504,120","154,000",17,3.27,3.40,3.97,3.97,03/31,2.50,03/24,
076801 聯發科國票08購04,"608,220","157,000",20,3.87,4.20,5.15,5.15,03/31,3.54,03/11,
076802 長榮國票07購01,"372,200","61,000",19,6.10,6.51,7.20,7.30,03/22,5.45,03/17,
076803 萬海國票06購03,"1,946,040","950,000",89,2.05,1.87,2.61,2.76,03/31,1.38,03/09,
076804 國泰金國票06購01,"9,040,920","6,303,000",95,1.43,1.44,1.84,1.84,03/30,0.91,03/02,
076806 景碩國票06購04,"30,610","22,000",6,1.39,1.38,1.55,1.55,03/29,1.21,03/26,
076807 惠特國票06購01,"1,171,540","1,502,000",46,0.78,0.77,0.89,0.95,03/17,0.63,03/03,
076808 南電國票07購01,"137,400","24,000",4,5.72,5.57,5.75,5.85,03/18,5.25,03/05,
076809 寶成國票06購02,"198,080","398,000",35,0.50,0.52,0.54,0.62,03/18,0.41,03/09,
076810 世紀鋼國票06購03,"144,080","310,000",16,0.46,0.35,0.26,0.54,03/04,0.25,03/30,
076811 台積電國泰07購11,"83,311,600","10,804,000",674,7.71,7.92,6.65,9.50,03/12,5.60,03/25,
076812 聯發科國泰07購03,"486,760","172,000",9,2.83,2.85,3.45,3.45,03/25,2.48,03/10,
076813 大立光國泰07購05,"68,300","80,000",5,0.85,0.82,0.55,0.97,03/10,0.55,03/29,
076814 科嘉國泰07購01,"8,758,800","11,336,000",250,0.77,0.74,0.73,0.97,03/19,0.64,03/09,
076815 世紀鋼國泰07購01,"2,066,530","5,631,000",45,0.37,0.45,0.32,0.64,03/04,0.29,03/30,
076816 全新富邦05購01,"240,540","264,000",26,0.91,0.91,1.20,1.20,03/31,0.63,03/09,
076817 可成富邦06購02,"546,970","1,581,000",19,0.35,0.34,0.36,0.37,03/29,0.30,03/02,
076818 景碩富邦05購01,"304,460","376,000",44,0.81,0.78,1.04,1.13,03/29,0.60,03/22,
076819 日月光富邦05購02,"182,770","79,000",20,2.31,2.33,2.62,2.64,03/03,1.83,03/09,
076820 致伸富邦07購01,"1,951,650","1,146,000",105,1.70,1.65,1.53,1.87,03/22,1.42,03/03,
076821 聯茂富邦05購01,"67,280","311,000",14,0.22,0.22,0.17,0.33,03/02,0.17,03/25,
076822 志超富邦07購01,"9,972,450","9,747,000",338,1.02,1.01,1.03,1.23,03/22,0.87,03/09,
076823 恆大永豐05購02,"393,700","2,243,000",34,0.18,0.16,0.17,0.22,03/19,0.11,03/24,
076825 燿華永豐05購02,"675,840","1,256,000",75,0.54,0.53,0.37,0.67,03/03,0.37,03/31,
076826 金像電永豐05購02,"2,522,970","1,256,000",77,2.01,1.87,1.57,2.45,03/08,1.50,03/22,
076827 新興永豐05購01,"39,400","20,000",1,1.97,1.97,1.97,1.97,03/15,1.97,03/15,
076828 萬海永豐05購03,"2,187,410","885,000",68,2.47,2.22,3.31,3.80,03/31,1.60,03/08,
076829 中壽永豐05購01,"1,206,980","816,000",46,1.48,1.52,1.72,1.79,03/26,1.29,03/04,
076830 麗豐永豐05購01,"5,593,280","5,102,000",230,1.10,1.08,1.16,1.40,03/09,0.91,03/04,
076831 南茂永豐05購01,"415,510","165,000",11,2.52,2.55,3.42,3.42,03/22,1.93,03/03,
076832 長榮中信05購01,"142,770","22,000",15,6.49,6.32,8.10,8.50,03/22,4.36,03/02,
076833 臻鼎中信06購01,"15,250","40,000",3,0.38,0.36,0.38,0.39,03/18,0.33,03/17,
076834 台泥兆豐06購01,"1,643,150","2,070,000",99,0.79,0.76,0.90,0.95,03/22,0.58,03/19,
076835 台積電兆豐06購04,"1,396,300","462,000",44,3.02,2.91,2.35,3.63,03/12,2.35,03/31,
