,民國110年01月,,,,,,,January 2021,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
076315 南帝元大07購01,"2,061,000","2,112,000",49,0.98,1.00,0.78,1.14,01/26,0.78,01/29,
076316 為升元大05購05,"415,190","457,000",46,0.91,0.86,0.55,1.33,01/07,0.52,01/25,
076317 為升元大05購06,"5,265,810","4,249,000",236,1.24,1.09,0.68,1.56,01/07,0.67,01/28,
076318 華通元大05購02,"1,134,370","1,050,000",53,1.08,0.99,0.71,1.26,01/14,0.71,01/29,
076319 鴻海元大05購07,"5,501,800","809,000",104,6.80,10.55,12.50,15.50,01/27,3.50,01/04,
076320 鴻海元大07購01,"6,659,100","1,545,000",76,4.31,5.85,7.25,7.60,01/15,3.11,01/04,
076321 鴻海元大07購02,"6,274,470","1,572,000",141,3.99,4.93,7.05,7.05,01/19,2.57,01/04,
076322 友訊元大05購02,"2,892,360","1,520,000",45,1.90,2.17,1.76,2.86,01/11,1.45,01/25,
076323 致茂元大05購01,"4,889,480","1,871,000",132,2.61,3.03,3.97,4.62,01/26,1.84,01/04,
076324 聯發科元大05購09,"4,099,390","996,000",176,4.12,4.18,4.38,5.90,01/22,2.53,01/04,
076326 美食元大05購01,"1,807,880","1,311,000",33,1.38,1.38,0.96,1.93,01/08,0.96,01/29,
076327 大立光元大05購12,"2,157,140","1,507,000",35,1.43,1.29,0.93,2.33,01/04,0.72,01/22,
076328 聯詠元大05購02,"12,430","3,000",3,4.14,4.14,4.48,4.58,01/19,3.37,01/04,
076329 聯詠元大05購03,"10,899,310","2,731,000",218,3.99,3.91,3.83,5.35,01/22,2.60,01/05,
076330 聯詠元大06購01,"1,211,320","324,000",47,3.74,4.23,4.40,5.30,01/22,3.00,01/05,
076331 玉晶光元大07購06,"128,470","155,000",9,0.83,0.94,0.67,1.31,01/05,0.61,01/22,
076332 訊芯元大05購01,"6,445,170","3,394,000",176,1.90,1.88,1.53,2.40,01/08,1.53,01/26,
076333 南六元大05購03,"2,590,720","3,185,000",202,0.81,0.76,0.61,0.97,01/20,0.61,01/29,
076334 緯穎元大05購03,"3,560,360","2,392,000",132,1.49,1.29,1.35,2.14,01/21,0.73,01/06,
076335 惠特元大05購01,"2,855,140","2,121,000",93,1.35,1.29,1.23,1.63,01/04,1.01,01/19,
076336 美利達元大05購01,"8,807,640","8,106,000",271,1.09,1.13,1.08,1.49,01/22,0.74,01/04,
076337 巨大元大05購02,"6,807,180","4,841,000",210,1.41,1.34,1.13,1.57,01/13,1.10,01/29,
076338 臺股指元大05購23,"507,550","83,000",14,6.12,6.33,5.45,7.75,01/21,4.64,01/06,
076339 臺股指元大05購24,"430,000","60,000",6,7.17,6.97,6.40,8.15,01/22,6.40,01/29,
076340 臺股指元大05購25,"1,351,350","320,000",42,4.22,4.54,5.25,5.25,01/12,3.52,01/04,
076342 臺股指元大05購27,"2,315,230","402,000",19,5.76,5.62,7.10,7.10,01/15,4.58,01/06,
076343 臺股指元大05購28,"292,100","58,000",6,5.04,5.02,5.30,5.30,01/21,4.70,01/18,
076344 為升國泰07購01,"4,184,320","3,979,000",118,1.05,0.99,0.70,1.37,01/07,0.67,01/28,
076345 華碩國泰07購01,"16,728,100","9,883,000",439,1.69,1.67,1.73,2.13,01/13,0.98,01/06,
076346 健策國泰07購01,"24,187,110","14,049,000",890,1.72,1.77,1.59,2.38,01/19,0.93,01/04,
076347 聯電富邦06購02,"669,980","311,000",44,2.15,2.58,3.10,3.35,01/22,1.88,01/04,
076348 台積電富邦07購02,"19,639,690","11,804,000",951,1.66,1.81,1.69,3.03,01/21,0.95,01/04,
076349 貿聯富邦07購01,"21,711,610","18,366,000","1,071",1.18,1.15,1.45,1.69,01/27,0.78,01/04,
076350 寶成富邦06購01,"4,494,510","5,923,000",134,0.76,0.73,0.54,1.02,01/05,0.54,01/29,
076351 華通永豐05購01,"1,526,160","1,365,000",30,1.12,1.06,0.75,1.27,01/14,0.75,01/29,
076352 智邦永豐05購01,"622,390","289,000",16,2.15,2.17,1.75,2.55,01/05,1.75,01/29,
076353 超眾永豐05購01,"631,370","938,000",37,0.67,0.66,0.52,0.80,01/14,0.52,01/25,
076354 元金反中信08購01,"26,140","14,000",4,1.87,1.81,1.87,1.94,01/11,1.63,01/07,
076355 元金2X中信07購01,"44,220","62,000",8,0.71,0.77,0.66,0.97,01/05,0.66,01/22,
076356 T50反1群益05購06,"92,900","735,000",11,0.13,0.12,0.12,0.14,01/04,0.12,01/05,
076357 長榮群益05購01,"2,901,700","382,000",52,7.60,8.57,7.85,11.40,01/05,5.15,01/20,
076358 長榮群益05購02,"3,625,950","300,000",54,12.09,14.71,11.30,20.30,01/05,7.85,01/18,
076359 眾達群益05購01,"744,060","950,000",40,0.78,0.68,0.35,0.94,01/07,0.35,01/21,
076360 嘉聯益群益05購02,"12,764,060","3,611,000",365,3.53,3.09,1.52,5.40,01/15,1.52,01/29,
076361 訊芯群益05購01,"18,977,270","8,605,000",320,2.21,2.10,1.40,3.05,01/08,1.40,01/29,
076362 富邦金康和05購01,"2,695,510","5,184,000",163,0.52,0.53,0.33,0.77,01/12,0.32,01/28,
076363 元金2X凱基06購04,"36,350","50,000",2,0.73,1.00,0.66,1.33,01/06,0.66,01/29,
076364 聯成凱基05購01,"7,114,620","3,897,000",290,1.83,1.76,0.77,3.17,01/04,0.77,01/29,
076365 永豐餘凱基06購01,"1,806,060","1,281,000",85,1.41,1.47,0.77,2.72,01/04,0.77,01/28,
076366 大成鋼凱基05購01,"553,840","307,000",37,1.80,1.79,0.84,2.78,01/06,0.84,01/28,
076367 鴻海凱基07購02,"5,656,930","1,429,000",127,3.96,5.17,7.30,7.70,01/14,1.93,01/04,
076368 金像電凱基05購01,"2,047,880","877,000",83,2.34,2.42,2.45,2.92,01/15,2.11,01/11,
076369 漢唐凱基06購01,"8,870,020","5,610,000",514,1.58,1.47,1.56,2.22,01/22,1.06,01/13,
076370 聯發科凱基05購07,"1,946,040","496,000",96,3.92,4.39,5.25,5.25,01/19,3.01,01/04,
076371 全新凱基05購01,"144,000","45,000",5,3.20,3.21,3.03,3.30,01/05,3.03,01/22,
076372 奇力新凱基05購04,"630,440","814,000",39,0.77,0.73,0.40,0.98,01/08,0.40,01/29,
076373 長榮凱基05購01,"245,350","25,000",5,9.81,7.69,4.51,10.80,01/05,4.51,01/29,
076374 新興凱基05購01,"793,570","360,000",48,2.20,2.70,1.87,4.12,01/04,1.87,01/29,
076375 華立凱基05購01,"3,911,390","2,012,000",139,1.94,1.89,1.69,2.41,01/25,1.64,01/22,
076376 奇鋐凱基05購02,"752,040","1,955,000",66,0.38,0.35,0.25,0.53,01/14,0.24,01/26,
076377 晶技凱基06購01,"6,534,930","4,768,000",320,1.37,1.35,1.32,2.17,01/27,0.97,01/04,
076378 健策凱基05購02,"3,271,630","1,787,000",171,1.83,2.00,2.15,2.64,01/19,1.05,01/04,
076379 日月光凱基06購02,"4,822,130","1,485,000",216,3.25,3.55,3.06,5.55,01/19,1.70,01/04,
076380 彩晶凱基08購01,"7,075,080","2,797,000",277,2.53,2.45,2.38,2.83,01/14,2.03,01/28,
076381 緯穎凱基05購03,"4,133,580","2,162,000",203,1.91,1.97,2.27,3.11,01/22,1.19,01/07,
076382 南電凱基05購02,"458,190","114,000",13,4.02,4.29,4.90,4.90,01/13,3.21,01/04,
076383 康那香凱基05購01,"653,380","1,477,000",68,0.44,0.40,0.28,0.60,01/21,0.28,01/29,
076384 台塑兆豐05購01,"618,960","603,000",47,1.03,1.00,0.55,1.39,01/13,0.55,01/28,
076385 國喬兆豐05購01,"344,500","479,000",21,0.72,0.66,0.47,0.94,01/05,0.38,01/21,
076386 聚陽兆豐05購01,"1,002,470","1,356,000",47,0.74,0.75,0.77,0.82,01/21,0.66,01/19,
076387 東鋼兆豐05購01,"763,400","344,000",62,2.22,2.17,1.22,3.34,01/06,1.22,01/28,
076388 友達兆豐05購02,"25,500","10,000",1,2.55,2.55,2.55,2.55,01/25,2.55,01/25,
076389 萬海兆豐05購02,"165,720","48,000",23,3.45,3.40,3.71,3.97,01/19,2.91,01/18,
076390 美食兆豐05購01,"307,480","212,000",12,1.45,1.28,0.83,1.61,01/08,0.83,01/26,
076391 奇鋐兆豐05購01,"71,670","131,000",38,0.55,0.54,0.34,0.77,01/14,0.34,01/29,
076392 創意兆豐05購01,"2,341,060","1,471,000",128,1.59,1.66,1.30,2.32,01/14,1.05,01/04,
076393 健策兆豐05購02,"1,501,420","1,501,000",88,1.00,1.02,0.89,1.36,01/19,0.54,01/04,
076394 泰鼎兆豐05購01,"299,290","771,000",44,0.39,0.39,0.37,0.44,01/14,0.36,01/22,
076395 臻鼎國泰07購01,"13,070,050","14,528,000",431,0.90,0.86,0.68,1.12,01/06,0.68,01/29,
076396 廣宇永豐05購01,"223,800","52,000",3,4.30,4.30,4.30,4.50,01/06,4.30,01/07,
076397 海悅永豐05購02,"36,960","66,000",1,0.56,0.56,0.56,0.56,01/04,0.56,01/04,
076398 奇力新永豐05購02,"2,355,610","3,563,000",94,0.66,0.60,0.45,0.77,01/08,0.41,01/27,
076399 長榮永豐05購01,"3,035,400","606,000",23,5.01,5.85,4.39,7.50,01/06,4.15,01/15,
076400 華立永豐05購02,"1,390,850","1,046,000",56,1.33,1.27,1.10,1.68,01/25,1.04,01/21,
076401 緯創永豐05購01,"7,165,620","5,855,000",152,1.22,1.20,1.29,1.52,01/28,0.98,01/22,
076402 創意永豐05購04,"26,148,720","10,199,000",637,2.56,2.33,2.39,3.53,01/14,1.30,01/29,
076403 材料永豐05購01,"949,330","1,552,000",31,0.61,0.58,0.44,0.73,01/07,0.44,01/29,
076404 台積電台新05購01,"2,580,250","506,000",113,5.10,4.23,4.38,6.05,01/21,2.43,01/05,
076405 卜蜂統一05購01,"1,162,680","1,097,000",52,1.06,1.03,0.91,1.29,01/04,0.90,01/21,
076406 義隆統一05購02,"4,007,970","2,265,000",211,1.77,2.62,2.86,3.36,01/20,1.21,01/04,
076407 大立光統一07購05,"101,890","122,000",7,0.84,0.80,0.74,0.87,01/11,0.74,01/15,
076408 TPK統一05購02,"1,082,730","1,125,000",63,0.96,0.92,0.67,1.14,01/05,0.67,01/29,
076409 合勤控統一06購02,"324,880","71,000",11,4.58,4.63,3.67,5.55,01/11,3.67,01/22,
076410 和碩統一06購01,"8,839,380","3,243,000",222,2.73,2.91,3.84,4.11,01/15,1.99,01/11,
076411 嘉聯益統一06購02,"5,505,420","4,617,000",344,1.19,1.06,0.84,1.69,01/15,0.79,01/25,
076412 超眾統一05購02,"1,590,350","1,212,000",48,1.31,1.28,1.03,1.55,01/14,0.98,01/22,
076413 超眾統一06購01,"1,750,260","1,663,000",61,1.05,0.99,0.83,1.18,01/14,0.83,01/29,
076414 超眾統一07購02,"3,612,550","3,282,000",98,1.10,1.07,0.95,1.28,01/14,0.93,01/22,
076415 超眾統一07購03,"1,350,160","1,501,000",88,0.90,0.82,0.67,1.01,01/14,0.67,01/29,
076416 台郡統一07購01,"11,861,630","9,618,000",295,1.23,1.21,1.08,1.39,01/06,1.00,01/20,
076417 GIS統一05購02,"2,979,740","1,850,000",98,1.61,1.51,1.11,2.08,01/06,1.11,01/29,
076418 GIS統一07購01,"12,497,350","8,541,000",292,1.46,1.46,1.20,1.82,01/06,1.20,01/29,
076419 寶成統一07購02,"1,184,070","1,007,000",17,1.18,1.06,0.91,1.38,01/05,0.90,01/28,
076420 美利達統一07購01,"11,252,590","7,181,000",201,1.57,1.67,1.95,2.13,01/25,1.19,01/04,
076421 潤泰新統一05購01,"1,239,570","1,270,000",50,0.98,0.98,0.85,1.12,01/04,0.82,01/25,
076422 元金2X元富07購01,"747,900","841,000",30,0.89,0.94,0.75,1.26,01/06,0.75,01/28,
076423 仁寶元富05購01,"876,780","612,000",81,1.43,1.36,1.20,2.00,01/15,1.07,01/21,
076424 英業達元富05購01,"348,550","162,000",8,2.15,1.98,1.70,2.20,01/06,1.70,01/29,
076425 友達元富05購05,"186,280","53,000",7,3.51,3.52,3.67,3.80,01/22,3.02,01/06,
076426 奇鋐元富05購03,"816,630","1,326,000",72,0.62,0.58,0.44,0.90,01/14,0.37,01/04,
076427 創意元富05購01,"2,404,480","513,000",111,4.69,4.59,4.83,5.55,01/14,3.68,01/04,
076428 超眾元富05購01,"214,180","216,000",14,0.99,0.98,0.88,1.15,01/14,0.88,01/20,
076429 緯穎元富05購05,"19,000","12,000",3,1.58,1.58,1.53,1.63,01/04,1.53,01/05,
076430 道瓊銀國票06購02,"7,652,900","2,925,000",162,2.62,2.48,2.43,3.50,01/06,1.94,01/28,
076431 永豐餘國票07購01,"1,681,170","1,610,000",126,1.04,0.96,0.41,1.91,01/04,0.41,01/29,
076432 智邦國票06購01,"98,230","44,000",7,2.23,2.22,2.27,2.35,01/08,2.09,01/14,
076433 長榮國票06購01,"83,610","12,000",3,6.97,6.04,4.59,7.50,01/04,4.02,01/22,
076434 美食國票07購01,"260,850","354,000",17,0.74,0.86,0.58,1.13,01/08,0.58,01/28,
076435 創意國票07購03,"3,972,860","1,934,000",102,2.05,1.96,1.95,2.61,01/14,1.12,01/04,
076436 健策國票06購03,"2,348,350","1,694,000",39,1.39,1.27,1.51,1.77,01/19,0.74,01/04,
076437 正文國票06購02,"495,140","536,000",18,0.92,0.80,0.59,1.15,01/05,0.59,01/20,
076438 崇越國票07購01,"715,030","1,278,000",50,0.56,0.53,0.48,0.61,01/25,0.48,01/29,
076439 惠特國票07購01,"1,675,200","2,135,000",62,0.78,0.76,0.63,1.02,01/04,0.63,01/29,
076441 潤泰新國票06購01,"897,650","1,157,000",12,0.78,0.72,0.57,0.81,01/06,0.57,01/29,
076442 鴻海麥證05購02,"1,016,180","208,000",84,4.89,4.96,5.10,6.25,01/06,4.02,01/04,
076443 台積電麥證05購06,"64,091,500","3,338,000",723,19.20,20.27,17.00,41.10,01/21,8.10,01/04,
076444 台積電麥證08購02,"34,730","6,000",5,5.79,5.97,7.15,7.15,01/15,4.59,01/04,
076445 華碩麥證05購01,"3,169,930","2,273,000",78,1.39,1.65,2.05,2.05,01/27,0.95,01/06,
076446 聯發科麥證0A購01,"1,226,310","397,000",25,3.09,3.53,4.09,4.49,01/21,2.67,01/04,
076447 大立光麥證09購01,"2,453,200","4,452,000",145,0.55,0.53,0.46,0.84,01/05,0.37,01/18,
076449 T50反1元大08購05,"422,490","3,493,000",54,0.12,0.14,0.15,0.23,01/04,0.07,01/25,
076450 T50反1元大08購06,"31,450","281,000",9,0.11,0.15,0.19,0.24,01/06,0.09,01/21,
076451 道瓊反元大08購03,"73,830","143,000",16,0.52,0.52,0.55,0.61,01/06,0.47,01/27,
076452 道瓊反元大08購04,"218,000","355,000",16,0.61,0.63,0.66,0.74,01/05,0.58,01/27,
076453 鴻海元大05購08,"6,275,040","1,318,000",81,4.76,6.36,9.85,9.85,01/14,3.18,01/04,
076454 台積電元大05購12,"9,372,550","725,000",265,12.93,14.14,14.50,27.20,01/21,6.30,01/04,
076455 華邦電元大07購02,"3,850","1,000",1,3.85,3.85,3.85,3.85,01/25,3.85,01/25,
076456 海悅元大05購02,"105,250","180,000",8,0.58,0.55,0.44,0.67,01/06,0.44,01/28,
076457 興勤元大05購01,"4,720,320","1,983,000",129,2.38,2.68,2.63,3.20,01/25,1.82,01/04,
076458 聯發科元大05購10,"10,071,910","2,248,000",130,4.48,5.06,6.25,6.65,01/25,3.50,01/04,
076459 義隆元大05購03,"1,581,700","944,000",69,1.68,2.24,2.69,2.75,01/14,1.31,01/04,
076460 義隆元大06購01,"6,252,240","2,461,000",292,2.54,2.77,2.82,3.60,01/20,1.31,01/04,
076461 長榮元大05購05,"6,242,150","681,000",40,9.17,9.73,10.00,11.50,01/25,7.80,01/08,
076462 長榮元大06購02,"3,515,450","546,000",24,6.44,7.00,5.05,8.75,01/04,5.05,01/26,
076464 長榮元大08購01,"699,350","92,000",20,7.60,7.68,5.45,9.30,01/05,5.45,01/25,
076465 富邦金元大05購02,"8,037,830","5,049,000",457,1.59,1.45,1.01,1.99,01/12,0.99,01/29,
076466 大立光元大06購01,"2,847,040","1,508,000",77,1.89,1.65,1.40,2.73,01/04,1.08,01/20,
076467 玉晶光元大06購05,"113,990","145,000",9,0.79,0.82,0.55,1.32,01/04,0.55,01/29,
076468 創意元大05購04,"29,141,320","10,465,000",746,2.78,2.85,2.80,3.95,01/14,1.65,01/04,
076469 創意元大06購01,"25,418,750","8,930,000",697,2.85,2.80,2.82,3.90,01/14,1.69,01/04,
076470 泰鼎元大05購01,"1,948,980","3,216,000",74,0.61,0.59,0.54,0.70,01/27,0.51,01/21,
076471 祥碩元大07購01,"980,850","590,000",35,1.66,1.86,2.03,2.10,01/13,1.43,01/04,
076472 臺股指元大05購30,"1,054,760","224,000",15,4.71,5.09,4.28,5.90,01/25,3.80,01/28,
076473 全新中信07購01,"445,530","372,000",56,1.20,1.19,0.89,1.42,01/22,0.88,01/28,
076474 上緯控康和05購01,"1,248,950","1,936,000",87,0.65,1.23,0.41,1.77,01/05,0.41,01/21,
076475 中興電兆豐06購01,"737,250","966,000",61,0.76,0.82,0.80,1.06,01/04,0.68,01/25,
076476 緯創兆豐06購01,"1,492,580","1,134,000",103,1.32,1.25,1.40,1.64,01/28,0.97,01/21,
076477 上緯控兆豐06購02,"1,666,170","5,452,000",21,0.31,0.39,0.26,0.60,01/07,0.25,01/18,
076478 上緯控兆豐06購03,"127,400","224,000",9,0.57,0.56,0.60,0.61,01/25,0.51,01/22,
076479 FBVIX群益05購02,"3,308,010","6,911,000",268,0.48,0.56,0.68,0.82,01/12,0.36,01/21,
076480 中興電群益05購01,"1,993,370","2,685,000",140,0.74,0.69,0.68,1.09,01/04,0.49,01/18,
076481 中興電群益05購02,"2,830,850","3,059,000",135,0.93,0.92,0.93,1.67,01/04,0.62,01/21,
076482 台積電群益06購02,"35,668,150","2,388,000",865,14.94,13.83,10.90,27.50,01/21,6.30,01/04,
076483 美食群益05購02,"1,254,130","1,086,000",86,1.15,1.07,0.62,1.68,01/08,0.62,01/29,
076484 創意群益05購02,"8,533,050","3,644,000",257,2.34,2.43,2.36,3.56,01/14,1.40,01/04,
076485 嘉聯益群益05購03,"4,345,950","2,343,000",171,1.85,1.53,0.69,2.87,01/15,0.69,01/29,
076486 滬深2X國票06購04,"120,350","40,000",6,3.01,3.03,3.75,3.75,01/08,2.35,01/04,
076487 中興電國票06購01,"193,420","253,000",27,0.76,0.84,0.86,1.19,01/04,0.66,01/21,
076488 光罩國票06購01,"6,996,150","4,657,000",186,1.50,1.42,1.15,1.70,01/08,1.15,01/29,
076489 南亞科國票06購02,"1,090,820","277,000",27,3.94,4.07,3.38,5.20,01/06,3.25,01/20,
076490 強茂國票06購02,"1,815,210","982,000",98,1.85,1.89,1.44,2.46,01/12,1.42,01/29,
076491 欣興國票06購04,"8,983,610","4,182,000",119,2.15,1.98,1.22,2.74,01/13,1.22,01/29,
076492 創意國票07購04,"6,718,110","3,392,000",79,1.98,2.01,1.92,2.68,01/14,1.25,01/04,
076493 科嘉國票06購01,"87,220","187,000",14,0.47,0.44,0.41,0.52,01/27,0.40,01/19,
076494 中興電凱基05購02,"2,153,190","2,138,000",128,1.01,0.95,1.00,1.42,01/04,0.71,01/21,
076495 中興電凱基06購01,"231,340","230,000",31,1.01,1.04,0.96,1.44,01/04,0.82,01/21,
076496 中興電凱基07購01,"270,280","307,000",36,0.88,0.85,0.88,1.15,01/04,0.66,01/21,
076497 榮成凱基05購01,"2,747,370","1,065,000",156,2.58,2.73,1.81,4.11,01/08,1.71,01/27,
076498 台積電凱基06購05,"983,760","290,000",50,3.39,3.69,4.45,5.70,01/22,2.26,01/04,
076499 光罩凱基05購01,"7,958,020","3,235,000",334,2.46,2.35,2.02,2.77,01/08,2.01,01/28,
076500 台光電凱基05購01,"386,350","451,000",34,0.86,0.81,0.67,1.02,01/15,0.67,01/28,
076501 精元凱基05購02,"3,827,270","3,992,000",215,0.96,0.92,0.89,1.16,01/27,0.79,01/14,
076502 京元電凱基05購01,"10,693,530","5,025,000",421,2.13,1.79,1.54,3.41,01/25,1.26,01/05,
076503 長榮凱基06購01,"1,882,350","233,000",25,8.08,9.96,6.00,13.10,01/05,5.15,01/20,
076504 上緯控凱基05購03,"221,510","364,000",33,0.61,0.59,0.49,0.85,01/07,0.45,01/15,
076505 茂林凱基06購01,"295,300","600,000",14,0.49,0.42,0.30,0.63,01/06,0.30,01/28,
076506 科嘉凱基05購01,"726,730","1,203,000",56,0.60,0.56,0.58,0.67,01/26,0.48,01/18,
076507 科嘉凱基06購01,"349,240","665,000",42,0.53,0.50,0.53,0.60,01/26,0.40,01/18,
076508 嘉聯益凱基07購01,"910,680","651,000",72,1.40,1.17,0.70,1.92,01/15,0.70,01/29,
076509 臺股指凱基05購23,"3,158,630","739,000",27,4.27,4.95,6.00,6.15,01/15,4.09,01/05,
076510 臺股指凱基05購24,"2,136,390","470,000",36,4.55,4.67,5.70,5.70,01/19,3.75,01/04,
076511 臺股指凱基05購25,"124,250","22,000",4,5.65,5.57,5.00,6.25,01/13,5.00,01/29,
076512 長榮元大05購03,"3,767,810","468,000",34,8.05,7.86,6.85,12.20,01/06,4.22,01/20,
076513 長榮元大05購04,"365,800","49,000",12,7.47,8.52,6.50,12.20,01/04,5.70,01/21,
076514 長榮元大05購06,"36,000","4,000",4,9.00,9.05,9.05,9.05,01/04,8.90,01/04,
076515 長榮元大06購01,"65,000","6,000",4,10.83,11.05,11.10,11.10,01/06,10.20,01/04,
076516 滬深2X元大05購07,"2,231,910","859,000",24,2.60,2.92,3.22,3.22,01/15,2.49,01/04,
076517 道瓊反元大05購02,"2,028,930","2,987,000",20,0.68,0.66,0.67,0.75,01/06,0.56,01/22,
076519 中興電元大05購02,"5,761,690","4,695,000",100,1.23,1.21,1.29,1.41,01/04,1.01,01/18,
076520 中興電元大07購01,"2,150,620","1,516,000",107,1.42,1.43,1.50,1.81,01/04,1.17,01/20,
076521 中興電元大07購02,"6,800,450","5,246,000",140,1.30,1.23,1.31,1.76,01/04,1.00,01/20,
076522 永豐餘元大06購01,"3,079,090","1,664,000",67,1.85,2.16,1.44,3.39,01/04,1.44,01/28,
076523 榮成元大05購01,"1,233,480","501,000",32,2.46,2.33,1.67,3.66,01/04,1.41,01/28,
076524 國巨元大05購10,"1,486,750","290,000",42,5.13,6.22,6.60,7.70,01/13,4.21,01/06,
076525 國巨元大07購03,"13,325,120","2,316,000",202,5.75,6.76,6.50,8.35,01/19,4.27,01/06,
076526 國巨元大07購04,"9,871,590","2,528,000",178,3.90,4.56,4.28,5.65,01/25,3.07,01/06,
076527 友訊元大06購01,"1,358,580","633,000",34,2.15,2.53,2.07,3.22,01/07,2.01,01/25,
076528 技嘉元大05購01,"7,158,990","4,194,000",190,1.71,1.65,1.53,1.87,01/13,1.40,01/21,
076529 聯發科元大06購06,"5,727,410","1,377,000",125,4.16,3.58,3.92,4.77,01/22,2.34,01/04,
076530 宏達電元大05購01,"2,502,270","2,319,000",86,1.08,0.99,0.75,1.49,01/04,0.70,01/29,
076531 美食元大05購02,"2,460,020","2,107,000",55,1.17,1.14,0.76,1.59,01/08,0.76,01/26,
076532 美食元大05購03,"3,561,500","2,810,000",105,1.27,1.16,0.66,1.76,01/08,0.65,01/29,
076533 大立光元大05購13,"318,600","675,000",30,0.47,0.55,0.49,0.83,01/06,0.31,01/20,
076534 大立光元大05購14,"79,770","232,000",15,0.34,0.38,0.29,0.61,01/06,0.25,01/20,
076535 華立元大05購02,"3,966,960","2,807,000",109,1.41,1.31,1.12,1.76,01/25,1.10,01/18,
076536 健策元大06購02,"5,291,830","2,741,000",244,1.93,1.96,1.92,2.49,01/19,1.19,01/05,
076537 貿聯元大05購01,"23,081,560","10,779,000",543,2.14,2.24,3.07,3.60,01/27,1.43,01/04,
076538 貿聯元大05購02,"10,786,060","5,109,000",264,2.11,2.41,3.19,3.66,01/27,1.54,01/04,
076539 上緯控元大05購05,"1,479,350","1,538,000",72,0.96,0.81,0.72,1.29,01/05,0.52,01/21,
076540 泰鼎元大05購02,"235,930","487,000",7,0.48,0.43,0.40,0.49,01/04,0.35,01/22,
076541 瀚宇博元大05購03,"2,352,610","2,213,000",76,1.06,1.00,0.81,1.19,01/06,0.77,01/20,
076542 矽格元大05購02,"14,936,380","7,708,000",370,1.94,1.99,1.87,3.14,01/26,1.49,01/18,
076543 訊芯元大05購02,"4,147,050","2,204,000",137,1.88,1.78,1.18,2.65,01/07,1.18,01/29,
076545 臺股指元大05購33,"4,263,110","1,322,000",37,3.22,3.99,3.96,4.70,01/19,2.67,01/04,
076546 臺股指元大05購38,"873,250","183,000",11,4.77,5.10,6.10,6.10,01/13,3.89,01/06,
076547 臺股指元大05購39,"328,290","62,000",2,5.30,5.30,5.65,5.65,01/13,4.94,01/12,
076548 臺股指元大05購40,"1,167,650","308,000",15,3.79,5.10,6.40,6.40,01/20,3.48,01/04,
076550 中興電統一07購01,"737,290","684,000",59,1.08,1.08,1.06,1.32,01/04,0.95,01/21,
076551 台積電統一07購03,"9,614,280","3,354,000",394,2.87,2.88,2.49,4.56,01/21,1.70,01/06,
076552 A50正2元富05購03,"154,880","34,000",8,4.56,4.32,4.92,5.15,01/08,3.35,01/05,
076553 中興電元富05購01,"487,580","603,000",63,0.81,0.77,0.88,1.17,01/04,0.59,01/20,
076554 中興電元富07購01,"1,280,970","1,143,000",92,1.12,1.06,1.20,1.47,01/04,0.85,01/20,
076555 全新元富08購01,"7,556,510","4,471,000",155,1.69,1.64,1.16,1.91,01/06,1.16,01/29,
076556 長榮元富05購01,"128,350","11,000",7,11.67,11.24,9.05,13.00,01/05,9.05,01/08,
076557 長榮元富0B購01,"54,700","6,000",4,9.12,8.98,7.70,9.40,01/06,7.70,01/07,
076558 國泰金元富05購01,"2,860,590","1,755,000",77,1.63,1.58,1.02,2.45,01/11,1.02,01/29,
076559 中興電國泰07購01,"8,751,010","7,211,000",226,1.21,1.24,1.37,1.67,01/04,0.96,01/18,
076560 中興電國泰08購01,"5,716,990","4,930,000",249,1.16,1.14,1.27,1.58,01/04,0.93,01/20,
076561 台積電國泰07購08,"21,589,500","4,248,000",254,5.08,6.32,6.00,10.20,01/22,3.04,01/04,
076562 中興電富邦06購01,"2,932,490","5,392,000",200,0.54,0.52,0.56,0.80,01/04,0.39,01/21,
076563 國巨富邦07購02,"6,277,490","1,891,000",262,3.32,3.76,3.68,4.86,01/25,2.47,01/06,
076564 華碩富邦06購01,"7,373,540","8,436,000",417,0.87,0.82,0.82,1.00,01/13,0.49,01/06,
076565 聯發科富邦08購01,"13,490,210","6,330,000",306,2.13,2.03,2.10,2.87,01/22,1.22,01/04,
076566 創意富邦06購02,"11,442,010","11,634,000",802,0.98,0.99,1.03,1.40,01/14,0.57,01/04,
076567 嘉聯益富邦06購02,"13,609,250","25,321,000","1,217",0.54,0.46,0.27,0.73,01/15,0.27,01/29,
076568 中興電永豐05購01,"5,588,740","5,543,000",173,1.01,1.03,1.01,1.49,01/04,0.78,01/21,
076569 中興電永豐05購02,"3,130,090","2,755,000",116,1.14,1.11,1.14,1.58,01/04,0.87,01/21,
076570 榮成永豐05購01,"477,230","358,000",32,1.33,1.60,1.30,2.43,01/04,1.20,01/27,
