,民國110年01月,,,,,,,January 2021,,,
證  券  名  稱,成   交   值,成  交  量,成交筆數,均    價,收盤均價,月底收盤價,盤中最高價,,盤中最低價,,成 交 量
,,,,(註一),(註二),End-of-,,日    期,,日    期,週轉率(％)
Security's,Trading,Trading,No. of,Average,Cls. Avg.,Month,Price of,Date of,Price of,Date of,Volume
Code & Name,Value,Volume,Trans.,Price,Price,Closing,Monthly,Monthly,Monthly,Monthly,Turnover
,,,,(Note 1),(Note 2),Price,High,High,Low,Low,Rate(％)
01 水泥工業類,,,,,,,,,,,
Cement,,,,,,,,,,,
2850   新產,"152,113,290","4,040,544","2,554",37.65,37.63,36.55,38.55,01/04,36.50,01/29,1.28
2851   中再保,"165,486,075","7,440,928","3,457",22.24,22.23,21.20,23.00,01/11,21.10,01/29,1.26
2852   第一保,"31,816,116","2,449,452","1,244",12.99,12.99,12.70,13.30,01/04,12.70,01/29,0.81
2855   統一證,"5,154,741,811","247,885,061","66,007",20.79,20.61,20.00,22.20,01/11,18.30,01/04,17.71
2867   三商壽,"670,844,387","79,756,548","22,336",8.41,8.37,8.02,8.75,01/11,8.02,01/29,3.19
2880   華南金,"4,392,465,852","247,110,280","91,166",17.78,17.83,17.15,18.35,01/08,17.15,01/29,1.92
2881   富邦金,"22,222,538,350","472,917,082","156,126",46.99,46.83,45.55,48.60,01/12,45.55,01/29,4.62
2881A  富邦特,"440,268,959","7,120,887","1,988",61.83,61.88,61.70,62.10,01/26,61.70,01/29,1.19
2881B  富邦金乙特,"192,630,505","3,088,171",903,62.38,62.44,62.90,63.00,01/29,61.80,01/11,0.46
2882   國泰金,"22,609,925,479","544,775,957","163,024",41.50,41.42,39.90,43.30,01/11,39.90,01/29,4.14
2882A  國泰特,"129,374,434","2,092,496",603,61.83,62.01,61.90,62.10,01/21,61.50,01/28,0.25
2882B  國泰金乙特,"26,074,116","419,102",442,62.21,62.42,62.40,62.80,01/04,61.40,01/13,0.06
2883   開發金,"10,051,125,410","1,078,001,968","220,733",9.32,9.23,8.92,9.95,01/11,8.92,01/29,7.20
2884   玉山金,"14,677,386,821","595,285,695","247,681",24.66,24.81,23.60,25.50,01/11,23.60,01/29,4.74
2885   元大金,"14,491,116,022","691,551,136","178,948",20.95,20.89,19.90,22.10,01/12,19.90,01/29,5.70
2886   兆豐金,"13,862,315,817","474,489,606","178,240",29.22,29.24,28.15,30.05,01/11,28.15,01/29,3.49
2887   台新金,"4,016,560,763","309,458,163","80,503",12.98,13.00,12.50,13.35,01/15,12.50,01/29,2.84
2887E  台新戊特,"72,151,343","1,378,715",725,52.33,52.37,52.10,52.80,01/05,52.10,01/29,0.28
2887F  台新戊特二,"65,614,492","1,278,180",801,51.33,51.43,51.40,51.60,01/08,51.10,01/21,0.43
2888   新光金,"8,239,636,363","966,000,138","137,123",8.53,8.48,8.05,8.90,01/11,8.05,01/29,7.42
2888A  新光金甲特,"35,362,054","821,818",696,43.03,43.04,42.60,43.60,01/05,42.60,01/29,1.10
2888B  新光金乙特,"175,798,979","4,178,852","1,918",42.07,42.12,41.55,42.40,01/12,41.50,01/29,1.88
2889   國票金,"1,749,341,603","134,697,227","42,403",12.99,12.96,12.60,13.50,01/11,12.50,01/28,4.65
2890   永豐金,"4,729,970,247","417,503,267","72,631",11.33,11.32,10.95,11.70,01/11,10.95,01/29,3.70
2891   中信金,"13,299,387,363","680,407,161","169,011",19.55,19.55,19.00,20.00,01/11,19.00,01/29,3.49
2891B  中信金乙特,"48,151,661","760,482",532,63.32,63.43,63.60,63.80,01/28,62.70,01/11,0.23
2891C  中信金丙特,"25,699,998","416,864",502,61.65,61.80,61.70,61.90,01/18,60.80,01/28,0.25
2892   第一金,"6,962,023,388","333,735,842","119,907",20.86,20.89,20.20,21.50,01/11,20.20,01/29,2.60
2897   王道銀行,"305,385,890","45,086,264","10,352",6.77,6.76,6.57,6.98,01/11,6.56,01/29,1.65
2897A  王道銀甲特,"11,117,787","1,095,007",285,10.15,10.15,10.10,10.20,01/22,10.10,01/29,0.37
5876   上海商銀,"4,619,617,160","114,530,431","46,449",40.34,40.47,37.40,42.55,01/08,37.40,01/29,2.56
5880   合庫金,"5,384,568,940","271,261,188","98,631",19.85,19.90,19.15,20.45,01/11,19.15,01/29,2.03
6005   群益證,"4,525,556,603","314,951,277","66,970",14.37,14.10,13.40,15.55,01/08,13.35,01/29,14.51
6024   群益期,"231,157,743","6,054,861","5,410",38.18,38.02,37.25,39.30,01/08,37.15,01/29,2.88
18 貿易百貨類,,,,,,,,,,,
Trading and Consumers' Goods,,,,,,,,,,,
1432   大魯閣,"111,006,780","8,069,571","4,406",13.76,13.42,12.90,15.35,01/20,12.45,01/15,10.76
2601   益航,"2,652,903,599","253,515,178","75,578",10.46,9.96,9.01,12.05,01/04,9.00,01/29,36.91
2614   東森,"878,319,248","52,767,050","19,394",16.65,16.57,15.95,17.60,01/04,15.90,01/20,9.48
2901   欣欣,"13,537,549","561,782","1,294",24.10,24.02,23.35,24.95,01/04,23.20,01/29,0.77
2903   遠百,"525,333,606","23,113,709","12,252",22.73,22.82,21.50,24.15,01/04,21.40,01/29,1.63
2905   三商,"255,115,765","12,478,293","6,766",20.44,20.43,19.80,21.10,01/14,19.80,01/29,1.37
2906   高林,"309,020,980","19,621,132","4,737",15.75,15.72,15.70,16.35,01/19,15.15,01/20,9.38
2908   特力,"88,115,378","3,378,233","1,984",26.08,26.18,24.00,27.00,01/05,23.80,01/29,0.66
2910   統領,"2,075,061","44,402",62,46.73,46.82,40.00,51.90,01/04,38.85,01/29,0.02
2911   麗嬰房,"54,892,677","7,628,402","5,102",7.20,7.03,6.42,8.13,01/04,6.39,01/29,4.13
2912   統一超,"8,076,311,035","30,058,137","25,879",268.69,268.48,267.00,273.50,01/29,263.00,01/19,2.89
2913   農林,"835,172,761","48,183,374","13,713",17.33,17.17,16.50,18.55,01/05,16.45,01/29,6.82
2915   潤泰全,"2,433,235,870","34,921,781","19,076",69.68,69.39,68.20,71.50,01/06,68.10,01/29,6.18
2929   淘帝-KY,"788,520,431","53,272,061","26,676",14.80,14.86,12.80,20.15,01/04,10.65,01/22,48.65
2936   客思達-KY,"13,013,834","640,119",455,20.33,20.20,19.40,21.85,01/04,19.15,01/29,0.84
2939   凱羿-KY,"122,520,736","4,024,132",899,30.45,30.53,30.85,36.60,01/04,27.50,01/25,8.83
4807   日成-KY,"16,348,125","646,930",522,25.27,25.30,23.45,28.20,01/07,22.80,01/27,1.69
5906   台南-KY,"28,617,709","588,448",550,48.63,49.37,48.15,51.40,01/05,45.15,01/20,1.96
5907   大洋-KY,"90,310,354","4,425,985","2,423",20.40,20.16,18.70,21.45,01/04,18.30,01/25,2.26
8429   金麗-KY,"211,832,076","22,330,742","12,724",9.49,8.94,8.24,10.40,01/06,8.18,01/29,12.02
8443   阿瘦,"14,911,883","1,288,887","1,620",11.57,11.49,10.85,12.30,01/04,10.70,01/29,1.93
8454   富邦媒,"5,787,754,630","7,642,617","11,971",757.30,751.90,788.00,870.00,01/22,633.00,01/04,5.46
21 化學工業類,,,,,,,,,,,
Chemical,,,,,,,,,,,
1708   東?,"265,264,034","11,642,016","6,394",22.79,22.65,21.75,24.20,01/04,21.55,01/26,5.10
1709   和益,"271,421,251","18,368,699","7,446",14.78,14.60,14.00,15.75,01/04,13.95,01/29,3.85
1710   東聯,"1,180,037,852","62,751,380","24,662",18.80,18.60,17.95,20.60,01/04,17.00,01/22,7.08
1711   永光,"635,421,035","38,190,459","17,118",16.64,16.19,15.35,17.80,01/04,15.30,01/29,6.97
1712   興農,"460,422,750","21,733,673","9,509",21.18,20.98,20.45,22.10,01/11,20.45,01/29,5.17
1713   國化,"67,983,208","3,339,565","1,484",20.36,19.80,18.55,22.85,01/04,18.50,01/29,2.21
1714   和桐,"964,398,651","98,309,375","26,959",9.81,9.78,9.17,10.65,01/04,9.10,01/20,9.67
1717   長興,"4,164,995,453","115,480,157","54,950",36.07,35.48,33.25,38.65,01/08,33.15,01/22,9.31
1718   中纖,"3,268,526,456","331,588,567","86,890",9.86,9.42,8.29,11.25,01/04,8.27,01/29,20.45
1721   三晃,"156,338,673","15,332,590","4,587",10.20,10.23,10.05,11.05,01/04,9.72,01/20,7.05
1722   台肥,"3,400,663,347","64,650,315","25,396",52.60,52.52,50.30,54.90,01/05,50.00,01/29,6.60
1723   中碳,"1,246,977,596","11,776,513","9,931",105.89,104.70,101.00,113.00,01/11,100.00,01/28,4.97
1724   台硝,"8,220,550","635,636",903,12.93,12.90,12.40,13.50,01/05,12.40,01/29,0.50
1725   元禎,"11,946,428","763,233",625,15.65,15.65,15.00,16.60,01/11,14.60,01/18,0.42
1726   永記,"51,001,413","720,548",672,70.78,70.93,70.00,72.30,01/04,70.00,01/29,0.44
1727   中華化,"15,343,410","1,396,411","1,986",10.99,10.93,10.75,11.40,01/19,10.35,01/18,1.29
1730   花仙子,"172,989,915","2,454,777","2,597",70.47,70.40,69.60,72.20,01/04,69.40,01/29,3.88
1732   毛寶,"4,312,480,598","138,541,467","65,198",31.13,27.07,30.10,37.00,01/26,22.40,01/11,326.41
1735   日勝化,"3,412,934","204,193",140,16.71,16.80,16.65,17.20,01/04,16.05,01/27,0.21
1773   勝一,"567,189,148","5,431,522","4,785",104.43,104.45,100.00,109.50,01/04,100.00,01/29,3.02
1776   展宇,"11,582,836","698,146",454,16.59,16.57,16.15,17.10,01/18,15.90,01/26,0.99
3708   上緯投控,"7,188,977,678","49,380,331","37,206",145.58,143.22,138.50,163.00,01/05,128.00,01/18,52.81
4720   德淵,"289,305,398","18,106,753","8,030",15.98,15.85,15.40,16.75,01/05,15.30,01/29,20.26
4722   國精化,"769,022,429","24,715,036","9,342",31.12,30.81,30.65,32.90,01/26,29.35,01/20,24.71
4725   信昌化,"12,955,598","723,325",686,17.91,17.92,17.90,18.00,01/04,17.90,01/11,0.55
4739   康普,"1,579,990,347","23,664,118","17,782",66.77,65.21,59.70,73.30,01/04,59.20,01/29,22.97
4755   三福化,"129,660,404","2,089,498","1,828",62.05,62.09,57.10,65.80,01/06,57.10,01/29,2.07
4763   材料-KY,"442,968,161","3,550,945","3,049",124.75,123.68,120.00,130.50,01/07,120.00,01/29,6.95
4764   雙鍵,"21,183,500","326,270",297,64.93,65.11,65.00,66.00,01/19,63.30,01/04,0.43
4766   南寶,"478,256,338","3,096,393","2,433",154.46,154.75,152.00,160.50,01/06,150.00,01/25,2.57
22 生技醫療類,,,,,,,,,,,
Biotechnology & Medical Care,,,,,,,,,,,
1598   岱宇,"5,282,615,927","45,268,666","26,952",116.69,112.10,98.50,131.00,01/11,98.50,01/29,37.42
1701   中化,"459,538,151","20,179,437","9,826",22.77,22.63,21.80,23.80,01/04,21.75,01/22,6.77
1707   葡萄王,"1,256,278,746","7,077,283","7,292",177.51,177.18,173.00,184.00,01/05,172.00,01/25,5.19
1720   生達,"290,691,360","7,921,383","5,561",36.70,36.50,35.60,37.80,01/04,35.50,01/22,4.43
