出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
110/05/15,109,2,1436,華友聯,670769,480041,--,--,190728,--,--,190728,79934,--,110794,-41084,69710,9175,60535,--,--,60535,514,--,61049,60535,--,--,61049,--,--,0.63
110/05/15,109,2,1437,勤益控,299919,69972,--,--,229947,--,--,229947,37747,--,192200,-3395,188805,52089,136716,0,--,136716,-117950,--,18766,137160,--,-444,19068,--,-302,0.67
110/05/15,109,2,1438,三地開發,98423,34930,--,--,63493,0,0,63493,10922,--,52571,1087,53658,1456,52202,--,--,52202,--,--,52202,--,--,--,--,--,--,0.51
110/05/15,109,2,1439,中和,69828,70489,--,--,-661,--,--,-661,15423,--,-16084,-10265,-26349,3948,-30297,--,--,-30297,-4055,--,-34352,-30297,--,--,-34352,--,--,-0.33
110/05/15,109,2,1440,南紡,8600574,7969042,--,--,631532,--,--,631532,953043,--,-321511,219276,-102235,-63217,-39018,--,--,-39018,39408,--,390,-73563,--,34545,-31579,--,31969,-0.04
110/05/15,109,2,1441,大東,788826,891678,--,--,-102852,--,--,-102852,91005,--,-193857,-29070,-222927,-3339,-219588,--,--,-219588,-17078,--,-236666,-194064,--,-25524,-210845,--,-25821,-1.93
110/05/15,109,2,1442,名軒,487404,391545,--,--,95859,--,--,95859,74721,--,21138,-9034,12104,7408,4696,--,--,4696,-3108,--,1588,4696,--,0,1588,--,0,0.02
110/05/15,109,2,1443,立益,265972,201034,--,--,64938,--,--,64938,33167,--,31771,-104974,-73203,-1250,-71953,-6691,--,-78644,35362,--,-43282,-43818,--,-34826,-26285,--,-16997,-0.32
110/05/15,109,2,1444,力麗,4111356,3978463,--,--,132893,--,80,132973,291547,--,-158574,-169273,-327847,-34120,-293727,--,--,-293727,-259581,--,-553308,-260568,--,-33159,-490637,--,-62671,-0.27
110/05/15,109,2,1445,大宇,482425,476188,--,--,6237,--,--,6237,60443,--,-54206,7519,-46687,-13440,-33247,0,--,-33247,9179,--,-24068,-33247,0,0,-24068,0,0,-0.25
110/05/15,109,2,1446,宏和,238569,181928,--,--,56641,--,--,56641,97160,--,-40519,3123,-37396,1831,-39227,--,--,-39227,3164,--,-36063,-39227,--,--,-36063,--,--,-0.28
110/05/15,109,2,1447,力鵬,4949105,5036829,--,--,-87724,-148,72,-87504,284218,--,-371722,-67440,-439162,-83600,-355562,--,--,-355562,-424615,--,-780177,-352560,--,-3002,-661906,--,-118271,-0.41
110/05/15,109,2,1449,佳和,916807,868785,--,--,48022,--,--,48022,159466,--,-111444,-15266,-126710,0,-126710,--,--,-126710,117244,--,-9466,-117881,--,-8829,-6528,--,-2938,-0.76
110/05/15,109,2,1451,年興,2960559,3079937,--,--,-119378,--,--,-119378,245749,--,-365127,-128397,-493524,-107964,-385560,--,--,-385560,328690,--,-56870,-385560,--,0,-56870,--,0,-1.95
110/05/15,109,2,1452,宏益,517994,481304,--,--,36690,--,--,36690,45953,--,-9263,-9092,-18355,-2802,-15553,--,--,-15553,10478,--,-5075,-15553,--,--,-5075,--,--,-0.12
110/05/15,109,2,1453,大將,46236,38722,--,--,7514,--,--,7514,14813,--,-7299,-3841,-11140,104,-11244,--,--,-11244,--,--,-11244,-11555,--,311,-11555,--,311,-0.12
110/05/15,109,2,1454,台富,631985,609662,--,--,22323,--,--,22323,67940,-261,-45878,8303,-37575,-13027,-24548,--,--,-24548,48335,--,23787,-24548,--,--,23786,--,1,-0.2
110/05/15,109,2,1455,集盛,3428368,3656140,--,--,-227772,--,--,-227772,171298,--,-399070,25522,-373548,-5874,-367674,--,--,-367674,-2178,--,-369852,-367674,--,--,-369852,--,--,-0.61
110/05/15,109,2,1456,怡華,244232,194382,--,--,49850,--,--,49850,36313,--,13537,-35345,-21808,548,-22356,--,--,-22356,-17,--,-22373,-22356,--,--,-22373,--,--,-0.24
110/05/15,109,2,1457,宜進,1279872,1210975,--,--,68897,--,--,68897,118710,785924,736111,-78513,657598,152933,504665,-72286,--,432379,-35103,--,397276,504988,--,-72609,482471,--,-85195,2.26
110/05/15,109,2,1459,聯發,808239,878071,--,--,-69832,--,--,-69832,67225,--,-137057,-109832,-246889,1515,-248404,--,--,-248404,432,--,-247972,-248686,--,282,-248254,--,282,-0.78
110/05/15,109,2,1460,宏遠,3036191,2785194,--,--,250997,--,--,250997,647938,301,-396640,24650,-371990,105,-372095,--,--,-372095,-102631,--,-474726,-372095,--,0,-474726,--,0,-0.77
110/05/15,109,2,1463,強盛,266130,207543,--,--,58587,--,--,58587,42136,--,16451,28386,44837,4797,40040,--,--,40040,-5402,--,34638,34690,--,5350,29288,--,5350,0.21
110/05/15,109,2,1464,得力,4059119,3465646,--,--,593473,--,--,593473,695108,-10953,-112588,-78708,-191296,-45409,-145887,--,--,-145887,-7918,--,-153805,-164483,--,18596,-187315,--,33510,-0.43
110/05/15,109,2,1465,偉全,218773,201888,--,--,16885,--,--,16885,31697,--,-14812,11545,-3267,5796,-9063,0,--,-9063,-7062,--,-16125,-9063,--,0,-16125,--,0,-0.09
110/05/15,109,2,1466,聚隆,1107018,1044064,0,0,62954,0,0,62954,121154,0,-58200,4598,-53602,-2443,-51159,0,--,-51159,-153,--,-51312,-50344,0,-815,-50497,0,-815,-0.45
110/05/15,109,2,1467,南緯,2511476,2269394,--,--,242082,--,--,242082,562411,--,-320329,-55675,-376004,-7271,-368733,--,--,-368733,479094,--,110361,-355295,--,-13438,123617,--,-13256,-1.52
110/05/15,109,2,1468,昶和,505061,421786,--,--,83275,--,--,83275,63004,--,20271,4230,24501,0,24501,--,--,24501,12055,--,36556,21046,--,3455,33531,--,3025,0.13
